# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
2.600000000000000089e+00 4.682361413985167253e+00 4.635105938620814214e+00 7.138447437219609171e+00 7.137124623842860949e+00
2.700000000000000178e+00 4.683715526120732164e+00 4.636147267507563896e+00 7.141013384016726917e+00 7.138517584894094270e+00
2.799999999999999822e+00 4.681080171720928718e+00 4.632928228066273135e+00 7.137082261187675414e+00 7.133859592045426190e+00
2.899999999999999911e+00 4.683886892459585560e+00 4.636567275484681616e+00 7.140273781944101117e+00 7.139004063520187238e+00
3.000000000000000000e+00 4.679406791491875772e+00 4.631256129056990467e+00 7.134624264486574496e+00 7.131262658712547164e+00
3.100000000000000089e+00 4.677034812168654909e+00 4.637051744202119075e+00 7.130392526601073477e+00 7.140211720976620491e+00
3.200000000000000178e+00 4.675382971789930231e+00 4.631710088167335648e+00 7.127845639337187400e+00 7.132134388035565209e+00
3.299999999999999822e+00 4.675471377120688388e+00 4.629642564839561381e+00 7.128612707935892523e+00 7.128871439819252309e+00
3.399999999999999911e+00 4.685295858045221529e+00 4.637367730172422320e+00 7.142097724850168028e+00 7.139797955805336827e+00
3.500000000000000000e+00 4.678420397910853623e+00 4.630810741142420639e+00 7.130666404453505081e+00 7.128981963600741878e+00
3.600000000000000089e+00 4.679866756316345189e+00 4.631009648901259546e+00 7.135431850096791706e+00 7.131457324525279695e+00
3.700000000000000178e+00 4.672477835404783342e+00 4.626744877842417836e+00 7.126316862361739446e+00 7.125934092398032327e+00
3.799999999999999822e+00 4.675932945482990100e+00 4.634942499946774319e+00 7.129073962408625675e+00 7.137318892536434589e+00
3.899999999999999911e+00 4.678264803710955988e+00 4.631192385990233973e+00 7.132778616746074718e+00 7.132058071605264615e+00
4.000000000000000000e+00 4.680410883202981154e+00 4.632315074268493760e+00 7.134472751237115773e+00 7.133632331411145167e+00
5.000000000000000000e+00 4.675666926036592841e+00 4.631641461193556353e+00 7.130791314686884874e+00 7.133572992266460133e+00
6.000000000000000000e+00 4.678436491462429458e+00 4.630291514257614871e+00 7.132928528060550555e+00 7.130764251361335404e+00
