# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-1.100000000000000089e+00 5.085274435286366135e+00 5.086225436722037863e+00 6.261459266177907601e+00 6.262941828064073846e+00
-1.000000000000000000e+00 5.089802427927637929e+00 5.088005083574847376e+00 6.264690011720162488e+00 6.263111753744482257e+00
-9.000000000000000222e-01 5.086235929323642324e+00 5.086335944467649028e+00 6.260783410148542671e+00 6.261417944619257270e+00
-8.000000000000000444e-01 5.075743427694829890e+00 5.073149952176869704e+00 6.248729907699387631e+00 6.246003413524084280e+00
-6.999999999999999556e-01 5.077653359639358932e+00 5.078086741251976122e+00 6.251493557454591787e+00 6.252294259318945890e+00
-5.999999999999999778e-01 5.081140103560921162e+00 5.081759104044123454e+00 6.255637915589385756e+00 6.256374472778194473e+00
-5.000000000000000000e-01 5.095014124780682607e+00 5.093779646502556879e+00 6.269894040751244013e+00 6.268981390967003797e+00
-4.000000000000000222e-01 5.091141887811295952e+00 5.089976997357424260e+00 6.267074414811110827e+00 6.265836488649633829e+00
-2.999999999999999889e-01 5.086472797934066037e+00 5.087877120443129009e+00 6.263483717852436072e+00 6.264869707739173954e+00
-2.000000000000000111e-01 5.088318748784770307e+00 5.090648929389411492e+00 6.265944194081570551e+00 6.266393671341803362e+00
-1.000000000000000056e-01 5.080726822615887706e+00 5.082487490806956387e+00 6.258768164538325962e+00 6.256410027475250324e+00
-0.000000000000000000e+00 5.071784626189717038e+00 5.078952460251199064e+00 6.248736953562392671e+00 6.251471616423235567e+00
1.000000000000000056e-01 5.076456278948602296e+00 5.079438131705069637e+00 6.254553498975447212e+00 6.252784095104927609e+00
2.000000000000000111e-01 5.081417733107277179e+00 5.080604625641191419e+00 6.258756233036922190e+00 6.253024252802561023e+00
2.999999999999999889e-01 5.082856168932130103e+00 5.088131287223992771e+00 6.259863151487357946e+00 6.261664025616014762e+00
4.000000000000000222e-01 5.085130935955981535e+00 5.088709607097290366e+00 6.263019585819941781e+00 6.262764375220642776e+00
5.000000000000000000e-01 5.083005032863440853e+00 5.090857451638659548e+00 6.259952197348690461e+00 6.264687609525904755e+00
5.999999999999999778e-01 5.080441104516512318e+00 5.082316925129875429e+00 6.255792544760370610e+00 6.253960041016243920e+00
6.999999999999999556e-01 5.077220140184611097e+00 5.081346462898634897e+00 6.251862718475258873e+00 6.252655889664574751e+00
8.000000000000000444e-01 5.075555644446094306e+00 5.070723038285317230e+00 6.249687238319705962e+00 6.240200483201816972e+00
9.000000000000000222e-01 5.079523174869195579e+00 5.084629889316002682e+00 6.254129726825350843e+00 6.256555849367393840e+00
1.000000000000000000e+00 5.073817559358115403e+00 5.078240890629421855e+00 6.247111291653245857e+00 6.248845940412270039e+00
1.100000000000000089e+00 5.076901270913284137e+00 5.083286665749899846e+00 6.251099655509568365e+00 6.254792531313225545e+00
1.199999999999999956e+00 5.079956314881362900e+00 5.080201512936785235e+00 6.254128445132862701e+00 6.250843646234345741e+00
1.300000000000000044e+00 5.086926037628014541e+00 5.087033982141095478e+00 6.261540625114925263e+00 6.257952169692300615e+00
1.399999999999999911e+00 5.078676673596141278e+00 5.078528609803251825e+00 6.252298503317075706e+00 6.248651591251237036e+00
