Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:22:33
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00002\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
106	116.000	-0.011654	0.013924	0.000848
107	118.000	-0.012471	0.012411	0.000875
108	120.000	-0.009008	0.011254	0.000808
109	122.000	-0.010390	0.023173	0.000971
110	124.000	-0.011145	0.012959	0.000920
111	126.000	-0.010077	0.012078	0.000980
112	128.000	-0.011160	0.010975	0.000960
113	130.000	-0.009418	0.010095	0.000812
114	132.000	-0.013056	0.011866	0.000863
115	134.000	-0.009721	0.011907	0.000803
116	136.000	-0.010747	0.011250	0.000948
117	138.000	-0.009806	0.010641	0.000989
118	140.000	-0.012073	0.011998	0.001024
119	142.000	-0.013847	0.011366	0.000917
120	144.000	-0.010809	0.011221	0.000771
121	146.000	-0.009851	0.010991	0.000790
122	148.000	-0.010667	0.010970	0.000845
123	150.000	-0.013424	0.012735	0.000876
124	152.000	-0.010666	0.010519	0.000726
125	154.000	-0.009837	0.011276	0.000964
126	156.000	-0.011354	0.010407	0.000728
127	158.000	-0.011298	0.011234	0.000873
128	160.000	-0.011178	0.014286	0.000982
129	162.000	-0.009980	0.013392	0.000817
130	164.000	-0.010953	0.011232	0.000812
131	166.000	-0.017154	0.009768	0.000935
132	168.000	-0.012278	0.012540	0.000882
133	170.000	-0.014233	0.011122	0.000734
134	172.000	-0.009965	0.010380	0.000809
135	174.000	-0.010508	0.010624	0.000915
136	176.000	-0.010112	0.009504	0.000858
137	178.000	-0.012063	0.015812	0.000872
138	180.000	-0.010562	0.012154	0.000786
139	182.000	-0.010255	0.012385	0.000942
140	184.000	-0.012916	0.013307	0.000788
141	186.000	-0.011941	0.011271	0.000878
142	188.000	-0.009455	0.010485	0.000797
143	190.000	-0.010869	0.010667	0.000947
144	192.000	-0.009946	0.011875	0.000870
145	194.000	-0.010342	0.010562	0.000856
146	196.000	-0.014462	0.010898	0.000695
147	198.000	-0.010817	0.011057	0.000813
148	200.000	-0.010693	0.012862	0.000872
149	202.000	-0.016986	0.012101	0.000802
150	204.000	-0.010565	0.014895	0.001014
151	206.000	-0.010672	0.011113	0.000921
152	208.000	-0.012533	0.010856	0.000971
153	210.000	-0.010052	0.012890	0.000954
154	212.000	-0.014099	0.009964	0.000707
155	214.000	-0.011237	0.012241	0.001013
156	216.000	-0.011856	0.012176	0.000948
157	218.000	-0.016019	0.016605	0.000961
158	220.000	-0.010250	0.011078	0.000916
159	222.000	-0.009618	0.013875	0.000849
160	224.000	-0.009932	0.013160	0.000925
161	226.000	-0.010070	0.010209	0.000922
162	228.000	-0.025172	0.011697	0.001032
163	230.000	-0.010035	0.011741	0.000826
164	232.000	-0.010203	0.010869	0.001018
165	234.000	-0.011297	0.010968	0.001065
166	236.000	-0.012595	0.010965	0.000880
167	238.000	-0.011479	0.011097	0.000861
168	240.000	-0.010151	0.010635	0.000741
169	242.000	-0.009436	0.011133	0.000893
170	244.000	-0.010936	0.011451	0.000863
171	246.000	-0.012807	0.011452	0.000849
172	248.000	-0.012524	0.013727	0.001005
173	250.000	-0.010283	0.012755	0.000947
174	252.000	-0.009714	0.010772	0.000832
175	254.000	-0.013981	0.012027	0.000700
176	256.000	-0.011620	0.011228	0.000913
177	258.000	-0.010538	0.011791	0.000848
178	260.000	-0.010948	0.014147	0.000812
179	262.000	-0.011500	0.012742	0.000938
180	264.000	-0.010007	0.014327	0.001010
181	266.000	-0.011017	0.011872	0.000924
182	268.000	-0.010493	0.011906	0.001079
183	270.000	-0.011650	0.012955	0.000922
184	272.000	-0.012588	0.012039	0.001012
185	274.000	-0.009975	0.012803	0.000819
186	276.000	-0.009365	0.011732	0.001000
187	278.000	-0.009558	0.010431	0.000872
188	280.000	-0.009507	0.011921	0.000993
189	282.000	-0.010369	0.015535	0.000774
190	284.000	-0.011495	0.011045	0.000664
191	286.000	-0.011041	0.011718	0.001002
192	288.000	-0.010479	0.012565	0.000972
193	290.000	-0.014107	0.010456	0.000891
194	292.000	-0.016702	0.012860	0.000842
195	294.000	-0.009942	0.013029	0.000838
196	296.000	-0.017490	0.012228	0.000750
197	298.000	-0.012893	0.012258	0.001019
198	300.000	-0.010296	0.014852	0.000926
199	302.000	-0.011898	0.013324	0.000772
200	304.000	-0.010382	0.009919	0.000872
201	306.000	-0.040820	0.011445	0.000750
202	308.000	-0.009825	0.012526	0.000789
203	310.000	-0.010448	0.012516	0.000801
204	312.000	-0.009631	0.012502	0.000941
205	314.000	-0.010430	0.011759	0.000874
206	316.000	-0.010188	0.011826	0.000995
207	318.000	-0.016607	0.025267	0.000949
208	320.000	-0.010305	0.014669	0.000976
209	322.000	-0.010982	0.012970	0.000871
210	324.000	-0.011353	0.010533	0.000962
211	326.000	-0.010297	0.011087	0.001009
212	328.000	-0.013644	0.011405	0.000845
