# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
5.000000000000000000e-01 4.636235128028189045e+00 4.651219329282719528e+00 6.559834566450508220e+00 6.565615885140598351e+00
5.999999999999999778e-01 4.638324673320859404e+00 4.644178987439520512e+00 6.562939835220381823e+00 6.556549686945142064e+00
6.999999999999999556e-01 4.627676436493526779e+00 4.645172831101341160e+00 6.548830482368345862e+00 6.558196414101995053e+00
8.000000000000000444e-01 4.627029808085231011e+00 4.639294090869920062e+00 6.547510230426753175e+00 6.549440107326465643e+00
9.000000000000000222e-01 4.634615239249560759e+00 4.646803370507864628e+00 6.557777603488526452e+00 6.558914472109631078e+00
1.000000000000000000e+00 4.642348331901111180e+00 4.645267883694079281e+00 6.568717547660026135e+00 6.556900751931260096e+00
1.100000000000000089e+00 4.633011364320640979e+00 4.640791222866892163e+00 6.555309274704714362e+00 6.550196928182663747e+00
1.199999999999999956e+00 4.637320660993601962e+00 4.653569845997713728e+00 6.562476745719668436e+00 6.568623935241113543e+00
1.300000000000000044e+00 4.628461676562575455e+00 4.638419725135987548e+00 6.550786307424130150e+00 6.548131315132115660e+00
1.399999999999999911e+00 4.626291333774366521e+00 4.639993010287136954e+00 6.546729632879874750e+00 6.549509941039377559e+00
1.500000000000000000e+00 4.625553419380688425e+00 4.644038130442317502e+00 6.546228986660836746e+00 6.555252901206384486e+00
1.600000000000000089e+00 4.644782449299318827e+00 4.649148120826865238e+00 6.573207201883024098e+00 6.562539602086399526e+00
1.699999999999999956e+00 4.625072150341837052e+00 4.638578519649502852e+00 6.546963775932872487e+00 6.548425363750530970e+00
1.800000000000000044e+00 4.628322422124699465e+00 4.643299895923760801e+00 6.550586433952747534e+00 6.554281396051359287e+00
1.899999999999999911e+00 4.627438043011715685e+00 4.643265302569028918e+00 6.549835776405068088e+00 6.554384056897906596e+00
2.000000000000000000e+00 4.641605772618292214e+00 4.651331837775331657e+00 6.568962827761351875e+00 6.564829837216093367e+00
3.000000000000000000e+00 4.632690651540329441e+00 4.633041954328458445e+00 6.557679019804577791e+00 6.540791119799536979e+00
4.000000000000000000e+00 4.637793839331299850e+00 4.651800212961070713e+00 6.563786261925501186e+00 6.565887592102598980e+00
5.000000000000000000e+00 4.631104477890198190e+00 4.646699748371524663e+00 6.553494549041662509e+00 6.558752389761751900e+00
6.000000000000000000e+00 4.626265950190950882e+00 4.639973312330545774e+00 6.545280542651799038e+00 6.549263223410729751e+00
7.000000000000000000e+00 4.636017879735818248e+00 4.646602134190700895e+00 6.556926857274003595e+00 6.557730033956180371e+00
8.000000000000000000e+00 4.633252877867256814e+00 4.645958711123864937e+00 6.553190967803388389e+00 6.556944549192652794e+00
9.000000000000000000e+00 4.634004486452203864e+00 4.642707479156959138e+00 6.553930569781352133e+00 6.553069567471035306e+00
1.000000000000000000e+01 4.646176680737954534e+00 4.654956711092370192e+00 6.570344651475314990e+00 6.569728695663237694e+00
1.100000000000000000e+01 4.640347513245534294e+00 4.653237043101538184e+00 6.562827164816866343e+00 6.567978424711397700e+00
1.200000000000000000e+01 4.644634227547761895e+00 4.644995779833208438e+00 6.568125611873625758e+00 6.556003076395449547e+00
1.300000000000000000e+01 4.634067345676410987e+00 4.641704348214294562e+00 6.552936075372453928e+00 6.551345729901075110e+00
1.400000000000000000e+01 4.637461196089430082e+00 4.645066164968228328e+00 6.558457463701072854e+00 6.556607577308672496e+00
1.500000000000000000e+01 4.647853265004976642e+00 4.656268621417847697e+00 6.572732818708488800e+00 6.571566004178048814e+00
1.600000000000000000e+01 4.639529841481845551e+00 4.650058043962562948e+00 6.560897925173978074e+00 6.562664287321555712e+00
1.700000000000000000e+01 4.634134290988609628e+00 4.650090073742011221e+00 6.553702584001887210e+00 6.562945117610357038e+00
1.800000000000000000e+01 4.635154881645489944e+00 4.647236749745911055e+00 6.555071603297589533e+00 6.558511677696579056e+00
1.900000000000000000e+01 4.631443125336669020e+00 4.648415574408689466e+00 6.550196451273031961e+00 6.560668426688095245e+00
2.000000000000000000e+01 4.647726986729748155e+00 4.657929109372862087e+00 6.572569390693518976e+00 6.574290497719291082e+00
2.100000000000000000e+01 4.645211508639022213e+00 4.658340549116675611e+00 6.569402781953726844e+00 6.575001593961454560e+00
2.200000000000000000e+01 4.642233179838782142e+00 4.649309877269567792e+00 6.563488047032918438e+00 6.561772132709717376e+00
2.300000000000000000e+01 4.636655536813838907e+00 4.650511923127606195e+00 6.557039204577871594e+00 6.564308368737627575e+00
2.400000000000000000e+01 4.637950871449282531e+00 4.650225248245526188e+00 6.558819418629844300e+00 6.563207302824713985e+00
2.500000000000000000e+01 4.646430607921418598e+00 4.660571831844128710e+00 6.569639326623642361e+00 6.577709115137915674e+00
2.600000000000000000e+01 4.643234873262362505e+00 4.649910700987819112e+00 6.564911842926459684e+00 6.562697278849653593e+00
2.700000000000000000e+01 4.645757236067983520e+00 4.658029769996763214e+00 6.566981777134301979e+00 6.572692948425363113e+00
2.800000000000000000e+01 4.650121785237598893e+00 4.654152411142933765e+00 6.573380735547823761e+00 6.567649146193314635e+00
2.900000000000000000e+01 4.640114887628095097e+00 4.643312226670103016e+00 6.559567905913588959e+00 6.553367541917358707e+00
3.000000000000000000e+01 4.643976390483063099e+00 4.648662131687324006e+00 6.564323185189206988e+00 6.560004414713490384e+00
3.100000000000000000e+01 4.647076033659082839e+00 4.658094391826065106e+00 6.567026379223947607e+00 6.572019729310989433e+00
3.200000000000000000e+01 4.655671401837539136e+00 4.664835403568440952e+00 6.579060510202613621e+00 6.581609237682621405e+00
3.300000000000000000e+01 4.655323466686111189e+00 4.663246986155601626e+00 6.579949943237406451e+00 6.580584483732151213e+00
3.400000000000000000e+01 4.659684812541271981e+00 4.662681477672879105e+00 6.584949936731880449e+00 6.579188000903818612e+00
3.500000000000000000e+01 4.658401087133658969e+00 4.658062200977151512e+00 6.582394160732708777e+00 6.572072181289657422e+00
3.600000000000000000e+01 4.654201496810046912e+00 4.657061630907380234e+00 6.577646409834367880e+00 6.571471754889973482e+00
3.700000000000000000e+01 4.648985322457418690e+00 4.660723578851084348e+00 6.569669032243955265e+00 6.576032520111561475e+00
3.800000000000000000e+01 4.646821867382099569e+00 4.649374581475067103e+00 6.566780619745819614e+00 6.560803992875560375e+00
3.900000000000000000e+01 4.650348484335189880e+00 4.654150970473805771e+00 6.571756990594415093e+00 6.567276464875997810e+00
4.000000000000000000e+01 4.653547424552809453e+00 4.662032367936772559e+00 6.575965414888582217e+00 6.578019339258000642e+00
4.100000000000000000e+01 4.650673680443044411e+00 4.656256369795550576e+00 6.572367828964797098e+00 6.570727186987211255e+00
4.200000000000000000e+01 4.642696832478327984e+00 4.643525553836256314e+00 6.561549605860462542e+00 6.552933599911958673e+00
4.300000000000000000e+01 4.653474313239644999e+00 4.661521954188120098e+00 6.576227509343161692e+00 6.576982971060472138e+00
4.400000000000000000e+01 4.654253307970437348e+00 4.660568870941141029e+00 6.577080180205195248e+00 6.575911687491843516e+00
4.500000000000000000e+01 4.644445806451144243e+00 4.655644737276364076e+00 6.562969388138940374e+00 6.569183842533096396e+00
4.600000000000000000e+01 4.645811688468916678e+00 4.654289184588050965e+00 6.565624612643198077e+00 6.567567548838923130e+00
4.700000000000000000e+01 4.644624219885332472e+00 4.650807250140778670e+00 6.563787227026018023e+00 6.563078611586115052e+00
4.800000000000000000e+01 4.644640154580420344e+00 4.658402289527095341e+00 6.563571174269024588e+00 6.573070432427226883e+00
4.900000000000000000e+01 4.649287217669678007e+00 4.658930321073031067e+00 6.569862988899785705e+00 6.573834216693313692e+00
5.000000000000000000e+01 4.649208019807156589e+00 4.650885886360145882e+00 6.568521117227422046e+00 6.561930372099374686e+00
5.100000000000000000e+01 4.644287331531262275e+00 4.652038763284564560e+00 6.562333323851143874e+00 6.563762637650937926e+00
5.200000000000000000e+01 4.643562709491879659e+00 4.652302219632858282e+00 6.562039838353900478e+00 6.564716530634846059e+00
5.300000000000000000e+01 4.649620339179661777e+00 4.653297743465244274e+00 6.569576385614229963e+00 6.566135031211865147e+00
5.400000000000000000e+01 4.647301615184915136e+00 4.659723973045252876e+00 6.566177159173943068e+00 6.574345202148580647e+00
5.500000000000000000e+01 4.648596547120434685e+00 4.654037821020952315e+00 6.567359183768426867e+00 6.566512600536329458e+00
5.600000000000000000e+01 4.651559339500662027e+00 4.659517933153110469e+00 6.571811528638605182e+00 6.573930717238884114e+00
5.700000000000000000e+01 4.650339198052113154e+00 4.658187201632768115e+00 6.570800705330491098e+00 6.573241800568790261e+00
5.800000000000000000e+01 4.655189176681290952e+00 4.662373017027756639e+00 6.576188995969515894e+00 6.577949268266426230e+00
5.900000000000000000e+01 4.648721308904900873e+00 4.657771600195535378e+00 6.568210896737876503e+00 6.572400904391901832e+00
6.000000000000000000e+01 4.664077948909796767e+00 4.667619780474519864e+00 6.590757357374489978e+00 6.587428428569237937e+00
6.100000000000000000e+01 4.649487091381935500e+00 4.658128265037891680e+00 6.569647818847611731e+00 6.573197438837683926e+00
6.200000000000000000e+01 4.649368255831581642e+00 4.656224820851930346e+00 6.569158941196476142e+00 6.570406238396533816e+00
6.300000000000000000e+01 4.652111632824531995e+00 4.657752780130589798e+00 6.572784151930123109e+00 6.572366946544864419e+00
6.400000000000000000e+01 4.646258683594424177e+00 4.659040589579729108e+00 6.564392056207874582e+00 6.574123703177278344e+00
6.500000000000000000e+01 4.656885380476538216e+00 4.654434045788572227e+00 6.578789051430097956e+00 6.567265736974730039e+00
6.600000000000000000e+01 4.652686592688270117e+00 4.658000860061918935e+00 6.572476179006879526e+00 6.571599316291120374e+00
6.700000000000000000e+01 4.652799581247919924e+00 4.661047092270862890e+00 6.572581639021513489e+00 6.576137982282886263e+00
6.800000000000000000e+01 4.657390671027306084e+00 4.669403430459872162e+00 6.578346382370463985e+00 6.587049823072530508e+00
6.900000000000000000e+01 4.660612991740652689e+00 4.658483888662987127e+00 6.583265653513728388e+00 6.572739869774199661e+00
7.000000000000000000e+01 4.651296683655956166e+00 4.658064524526301042e+00 6.570311422302326676e+00 6.571467595492713087e+00
7.100000000000000000e+01 4.654193250290283856e+00 4.660779954869741282e+00 6.574444491255766465e+00 6.575416963338149401e+00
7.200000000000000000e+01 4.655630643963295512e+00 4.655779027832717354e+00 6.576737209102546444e+00 6.568926632856672221e+00
7.300000000000000000e+01 4.647006368060936587e+00 4.649689208670479523e+00 6.564735190259889386e+00 6.559835294377344361e+00
7.400000000000000000e+01 4.653957741882703836e+00 4.655532868650401390e+00 6.574854731111721584e+00 6.568610883199114348e+00
7.500000000000000000e+01 4.666311393522657447e+00 4.678386216551334797e+00 6.592391271088566818e+00 6.600407170211777697e+00
7.600000000000000000e+01 4.656593738177458697e+00 4.667555559550569555e+00 6.578967066218302406e+00 6.585352167338720974e+00
7.700000000000000000e+01 4.654367258536994179e+00 4.667866101261282985e+00 6.576207169195842361e+00 6.585897501079511329e+00
7.800000000000000000e+01 4.656918053230595156e+00 4.668235658473818717e+00 6.579998554033952729e+00 6.586747607516643122e+00
7.900000000000000000e+01 4.658949458099606922e+00 4.667287779658994218e+00 6.582968159644062567e+00 6.585281857654477378e+00
8.000000000000000000e+01 4.653546223794338133e+00 4.663561610401565360e+00 6.574898535641222175e+00 6.579501745969190907e+00
8.100000000000000000e+01 4.658435681453393151e+00 4.662953979941640625e+00 6.581816800228448727e+00 6.578921415939563921e+00
8.200000000000000000e+01 4.652312708149502818e+00 4.665261736478522714e+00 6.573768633433319408e+00 6.582347957465117361e+00
8.300000000000000000e+01 4.661788209867757438e+00 4.667368017318376694e+00 6.586409357309909396e+00 6.585098398649366302e+00
8.400000000000000000e+01 4.662563203314401328e+00 4.668130997901943857e+00 6.586601630955865261e+00 6.585254554012826667e+00
8.500000000000000000e+01 4.658169424992244068e+00 4.667120658202589034e+00 6.580619396633055729e+00 6.584600234327959711e+00
8.600000000000000000e+01 4.674217217565587390e+00 4.685308926285842723e+00 6.601979507629060606e+00 6.608992264270788120e+00
8.700000000000000000e+01 4.669824317121376467e+00 4.674650193375569529e+00 6.596281942830682254e+00 6.594487630898967723e+00
8.800000000000000000e+01 4.661279959856887700e+00 4.673852061515839651e+00 6.584682319944660023e+00 6.593977217613486985e+00
8.900000000000000000e+01 4.673861511824801696e+00 4.677555570596938495e+00 6.602167608417352618e+00 6.599622802880836581e+00
9.000000000000000000e+01 4.672304161884085261e+00 4.678697156208994734e+00 6.600942652250205711e+00 6.601300917495525056e+00
9.100000000000000000e+01 4.650321578680059353e+00 4.656781439685907742e+00 6.569925285790606750e+00 6.570550377457002433e+00
9.200000000000000000e+01 4.658532896151979408e+00 4.663129910759113983e+00 6.581850994854318238e+00 6.579339984809026376e+00
9.300000000000000000e+01 4.647130967705539462e+00 4.652041566975944065e+00 6.566548555617936600e+00 6.563984296432370691e+00
9.400000000000000000e+01 4.644219186361959295e+00 4.656318912008213573e+00 6.563583665849986204e+00 6.570065586103194022e+00
9.500000000000000000e+01 4.650275216588385163e+00 4.655955679442112860e+00 6.571910269431638696e+00 6.569205386059884688e+00
9.600000000000000000e+01 4.652015141219554728e+00 4.663550640180117668e+00 6.574995913991975804e+00 6.579703223955373659e+00
9.700000000000000000e+01 4.654673959973206543e+00 4.656209288330313889e+00 6.578791621035165349e+00 6.569411755635448102e+00
9.800000000000000000e+01 4.653493853038226824e+00 4.668397896335489961e+00 6.577749235766279234e+00 6.586436025338198164e+00
9.900000000000000000e+01 4.646559052200680107e+00 4.651563261487771328e+00 6.568008856157570463e+00 6.562992604335788904e+00
1.000000000000000000e+02 4.657355435224016738e+00 4.666308191676900030e+00 6.583713611725798387e+00 6.583433899194174543e+00
1.010000000000000000e+02 4.652902960998800630e+00 4.662053588460639553e+00 6.578627453546922688e+00 6.578226581339961854e+00
1.020000000000000000e+02 4.659733500152349883e+00 4.673782394427268727e+00 6.587751950679257895e+00 6.594026146791130749e+00
1.030000000000000000e+02 4.664609425250628938e+00 4.668728136910533344e+00 6.594257734129734594e+00 6.586998014833005399e+00
