Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 16:29:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00006\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
102	108.000	-0.001911	0.001108	-0.000625
103	110.000	-0.001857	0.000707	-0.000621
104	112.000	-0.001870	0.000771	-0.000640
105	114.000	-0.002022	0.000681	-0.000638
106	116.000	-0.001912	0.000853	-0.000642
107	118.000	-0.001919	0.000806	-0.000672
108	120.000	-0.002332	0.000569	-0.000690
109	122.000	-0.002023	0.000884	-0.000697
110	124.000	-0.002403	0.000668	-0.000728
111	126.000	-0.002192	0.011407	-0.000735
112	128.000	-0.002223	0.000787	-0.000779
113	130.000	-0.001982	0.001174	-0.000749
114	132.000	-0.002230	0.000650	-0.000768
115	134.000	-0.002265	0.000487	-0.000777
116	136.000	-0.001963	0.000848	-0.000750
117	138.000	-0.002218	0.000604	-0.000749
118	140.000	-0.002311	0.000672	-0.000693
119	142.000	-0.002111	0.000786	-0.000681
120	144.000	-0.001939	0.000595	-0.000677
121	146.000	-0.001880	0.000822	-0.000670
122	148.000	-0.002111	0.000689	-0.000650
123	150.000	-0.001938	0.000709	-0.000650
124	152.000	-0.001927	0.000719	-0.000644
125	154.000	-0.002176	0.000547	-0.000677
126	156.000	-0.002065	0.000814	-0.000644
127	158.000	-0.002026	0.000802	-0.000673
128	160.000	-0.001957	0.000832	-0.000647
129	162.000	-0.002071	0.000740	-0.000661
130	164.000	-0.002061	0.000820	-0.000690
131	166.000	-0.002128	0.000646	-0.000647
132	168.000	-0.001842	0.000921	-0.000668
133	170.000	-0.002094	0.000642	-0.000641
134	172.000	-0.002212	0.000848	-0.000652
135	174.000	-0.002035	0.000750	-0.000631
136	176.000	-0.002092	0.000865	-0.000619
137	178.000	-0.002405	0.000797	-0.000620
138	180.000	-0.001871	0.000753	-0.000637
139	182.000	-0.002051	0.000760	-0.000614
140	184.000	-0.002577	0.000685	-0.000621
141	186.000	-0.002486	0.001074	-0.000618
142	188.000	-0.001932	0.000666	-0.000635
143	190.000	-0.002099	0.000497	-0.000633
144	192.000	-0.002198	0.000785	-0.000638
145	194.000	-0.001849	0.000737	-0.000667
146	196.000	-0.002058	0.000927	-0.000633
147	198.000	-0.001983	0.001125	-0.000593
148	200.000	-0.002012	0.000992	-0.000592
149	202.000	-0.002128	0.000787	-0.000577
150	204.000	-0.002109	0.000836	-0.000625
151	206.000	-0.002026	0.001156	-0.000616
152	208.000	-0.002104	0.001205	-0.000587
153	210.000	-0.002307	0.000999	-0.000585
154	212.000	-0.002047	0.000933	-0.000613
155	214.000	-0.002450	0.000614	-0.000642
156	216.000	-0.001872	0.000866	-0.000638
157	218.000	-0.002120	0.000917	-0.000652
158	220.000	-0.002540	0.000727	-0.000666
159	222.000	-0.002514	0.000681	-0.000669
160	224.000	-0.002199	0.000543	-0.000671
161	226.000	-0.001782	0.000667	-0.000686
162	228.000	-0.002012	0.000502	-0.000663
163	230.000	-0.002285	0.000642	-0.000709
164	232.000	-0.002157	0.000516	-0.000729
165	234.000	-0.002212	0.000524	-0.000730
166	236.000	-0.001988	0.000506	-0.000728
167	238.000	-0.002190	0.000858	-0.000721
168	240.000	-0.002203	0.000870	-0.000712
169	242.000	-0.002203	0.000613	-0.000735
170	244.000	-0.002274	0.000540	-0.000750
171	246.000	-0.002183	0.000512	-0.000744
172	248.000	-0.002307	0.000714	-0.000704
173	250.000	-0.002102	0.000643	-0.000726
174	252.000	-0.002245	0.001087	-0.000696
175	254.000	-0.002072	0.000808	-0.000681
176	256.000	-0.002047	0.000696	-0.000664
177	258.000	-0.001913	0.000769	-0.000665
178	260.000	-0.001824	0.000649	-0.000679
179	262.000	-0.002236	0.000598	-0.000677
180	264.000	-0.002224	0.000790	-0.000696
181	266.000	-0.002292	0.000679	-0.000699
182	268.000	-0.002201	0.000794	-0.000689
183	270.000	-0.001941	0.000988	-0.000677
184	272.000	-0.002223	0.000703	-0.000683
185	274.000	-0.002366	0.000696	-0.000673
186	276.000	-0.002237	0.000986	-0.000625
187	278.000	-0.001883	0.001104	-0.000590
188	280.000	-0.002214	0.000857	-0.000667
189	282.000	-0.002224	0.000761	-0.000621
190	284.000	-0.001948	0.000857	-0.000626
191	286.000	-0.001757	0.000935	-0.000599
192	288.000	-0.001797	0.000726	-0.000579
193	290.000	-0.001752	0.001015	-0.000556
194	292.000	-0.002070	0.000657	-0.000569
195	294.000	-0.001865	0.000696	-0.000542
196	296.000	-0.001785	0.000758	-0.000556
197	298.000	-0.001899	0.000796	-0.000567
198	300.000	-0.001889	0.000737	-0.000552
199	302.000	-0.001862	0.000915	-0.000540
200	304.000	-0.001967	0.000702	-0.000564
201	306.000	-0.001800	0.000806	-0.000540
202	308.000	-0.001992	0.000755	-0.000537
203	310.000	-0.002206	0.000974	-0.000486
204	312.000	-0.002112	0.000842	-0.000508
205	314.000	-0.001906	0.000990	-0.000551
206	316.000	-0.002019	0.000936	-0.000528
207	318.000	-0.001989	0.000904	-0.000550
208	320.000	-0.001892	0.000791	-0.000514
209	322.000	-0.002174	0.000756	-0.000482
210	324.000	-0.002117	0.000928	-0.000490
211	326.000	-0.001803	0.000661	-0.000476
212	328.000	-0.001851	0.000872	-0.000461
213	330.000	-0.001975	0.000766	-0.000458
214	332.000	-0.001687	0.001074	-0.000438
215	334.000	-0.001827	0.000854	-0.000433
216	336.000	-0.002085	0.001022	-0.000430
217	338.000	-0.001724	0.000800	-0.000431
218	340.000	-0.001841	0.001063	-0.000445
219	342.000	-0.001828	0.000918	-0.000414
220	344.000	-0.001830	0.001522	-0.000427
221	346.000	-0.001799	0.001208	-0.000411
222	348.000	-0.001972	0.001235	-0.000412
223	350.000	-0.001959	0.001084	-0.000400
224	352.000	-0.001801	0.000967	-0.000362
225	354.000	-0.002026	0.001110	-0.000371
226	356.000	-0.001804	0.001145	-0.000382
227	358.000	-0.001763	0.001018	-0.000361
228	360.000	-0.001728	0.001072	-0.000373
229	362.000	-0.001804	0.001324	-0.000355
230	364.000	-0.005539	0.001031	-0.000351
231	366.000	-0.001902	0.001190	-0.000332
232	368.000	-0.001611	0.000891	-0.000338
233	370.000	-0.001636	0.000994	-0.000321
234	372.000	-0.001923	0.001414	-0.000329
235	374.000	-0.001707	0.001077	-0.000292
236	376.000	-0.001527	0.000916	-0.000304
237	378.000	-0.001553	0.001132	-0.000341
238	380.000	-0.001389	0.001089	-0.000279
239	382.000	-0.001376	0.001207	-0.000280
240	384.000	-0.001824	0.001097	-0.000299
241	386.000	-0.001840	0.001143	-0.000279
242	388.000	-0.001525	0.001238	-0.000300
243	390.000	-0.001563	0.001025	-0.000305
244	392.000	-0.001733	0.000920	-0.000319
245	394.000	-0.001576	0.001026	-0.000290
246	396.000	-0.001765	0.001138	-0.000282
247	398.000	-0.001883	0.000993	-0.000252
248	400.000	-0.001949	0.001261	-0.000287
249	402.000	-0.001645	0.000881	-0.000303
250	404.000	-0.001836	0.001743	-0.000268
251	406.000	-0.001517	0.001193	-0.000267
252	408.000	-0.001598	0.001031	-0.000281
253	410.000	-0.001558	0.001281	-0.000266
254	412.000	-0.001504	0.001100	-0.000277
255	414.000	-0.001539	0.000905	-0.000285
256	416.000	-0.001869	0.001331	-0.000290
257	418.000	-0.001499	0.001106	-0.000281
258	420.000	-0.001596	0.001114	-0.000274
259	422.000	-0.001513	0.001189	-0.000270
260	424.000	-0.001708	0.001247	-0.000310
261	426.000	-0.001590	0.001342	-0.000302
262	428.000	-0.001482	0.001063	-0.000293
263	430.000	-0.001942	0.000891	-0.000310
264	432.000	-0.002079	0.001115	-0.000296
265	434.000	-0.001730	0.001119	-0.000309
266	436.000	-0.001878	0.001252	-0.000314
267	438.000	-0.001618	0.001053	-0.000313
268	440.000	-0.001556	0.001110	-0.000346
269	442.000	-0.001614	0.001187	-0.000364
270	444.000	-0.001479	0.000861	-0.000343
271	446.000	-0.001788	0.001045	-0.000352
272	448.000	-0.002076	0.001001	-0.000359
273	450.000	-0.001767	0.000798	-0.000393
274	452.000	-0.002045	0.001072	-0.000403
275	454.000	-0.001859	0.001140	-0.000396
276	456.000	-0.001736	0.001303	-0.000406
277	458.000	-0.002182	0.001019	-0.000417
278	460.000	-0.001721	0.001138	-0.000411
279	462.000	-0.001878	0.001066	-0.000389
280	464.000	-0.001789	0.000957	-0.000447
281	466.000	-0.001911	0.001059	-0.000461
282	468.000	-0.001802	0.001190	-0.000464
283	470.000	-0.001693	0.000799	-0.000509
284	472.000	-0.001772	0.001022	-0.000490
285	474.000	-0.016119	0.000843	-0.000526
286	476.000	-0.002307	0.000667	-0.000516
287	478.000	-0.001994	0.001004	-0.000548
288	480.000	-0.002058	0.001053	-0.000558
289	482.000	-0.001839	0.000743	-0.000574
290	484.000	-0.001966	0.000941	-0.000576
291	486.000	-0.001830	0.000909	-0.000583
292	488.000	-0.001868	0.001058	-0.000603
293	490.000	-0.001970	0.000738	-0.000612
294	492.000	-0.001954	0.001015	-0.000639
295	494.000	-0.001905	0.001124	-0.000637
296	496.000	-0.002533	0.000900	-0.000614
297	498.000	-0.002146	0.000925	-0.000652
298	500.000	-0.001892	0.000522	-0.000631
