Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 15:31:46
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00004\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at 0 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	1.999969

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      2 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
103	110.000	-0.002029	0.000847	-0.000660
104	112.000	-0.002140	0.000784	-0.000679
105	114.000	-0.001884	0.001012	-0.000678
106	116.000	-0.002030	0.001171	-0.000644
107	118.000	-0.002228	0.000651	-0.000672
108	120.000	-0.002124	0.001002	-0.000692
109	122.000	-0.002109	0.000745	-0.000728
110	124.000	-0.002355	0.000758	-0.000739
111	126.000	-0.002051	0.000786	-0.000785
112	128.000	-0.002531	0.001300	-0.000792
113	130.000	-0.002438	0.000482	-0.000821
114	132.000	-0.002117	0.001452	-0.000798
115	134.000	-0.002119	0.000477	-0.000760
116	136.000	-0.002563	0.001014	-0.000742
117	138.000	-0.002131	0.000786	-0.000707
118	140.000	-0.002246	0.001291	-0.000741
119	142.000	-0.002117	0.000756	-0.000672
120	144.000	-0.002210	0.000836	-0.000694
121	146.000	-0.002112	0.000817	-0.000707
122	148.000	-0.002137	0.000839	-0.000679
123	150.000	-0.002118	0.000724	-0.000683
124	152.000	-0.002446	0.000621	-0.000696
125	154.000	-0.002274	0.000764	-0.000698
126	156.000	-0.002047	0.000703	-0.000706
127	158.000	-0.002130	0.000791	-0.000698
128	160.000	-0.002190	0.000906	-0.000707
129	162.000	-0.002019	0.003324	-0.000662
130	164.000	-0.002000	0.000818	-0.000715
131	166.000	-0.002580	0.000589	-0.000673
132	168.000	-0.001845	0.002797	-0.000655
133	170.000	-0.001976	0.001053	-0.000669
134	172.000	-0.002118	0.000833	-0.000656
135	174.000	-0.002182	0.000743	-0.000660
136	176.000	-0.002341	0.001108	-0.000687
137	178.000	-0.017920	0.000930	-0.000675
138	180.000	-0.002967	0.000766	-0.000667
139	182.000	-0.002162	0.000941	-0.000675
140	184.000	-0.001988	0.000616	-0.000659
141	186.000	-0.004751	0.000725	-0.000664
142	188.000	-0.002193	0.001039	-0.000697
143	190.000	-0.002314	0.000908	-0.000672
144	192.000	-0.002192	0.000642	-0.000636
145	194.000	-0.002188	0.000901	-0.000678
146	196.000	-0.002342	0.001483	-0.000621
147	198.000	-0.001940	0.001030	-0.000641
148	200.000	-0.002177	0.000771	-0.000656
149	202.000	-0.002023	0.001787	-0.000602
150	204.000	-0.002076	0.000851	-0.000638
151	206.000	-0.001971	0.000769	-0.000628
152	208.000	-0.002273	0.001010	-0.000621
153	210.000	-0.002186	0.000773	-0.000645
154	212.000	-0.002084	0.000855	-0.000650
155	214.000	-0.002016	0.000942	-0.000671
156	216.000	-0.002286	0.001697	-0.000691
157	218.000	-0.002159	0.000688	-0.000693
158	220.000	-0.002109	0.001467	-0.000708
159	222.000	-0.002342	0.000912	-0.000720
160	224.000	-0.003103	0.000707	-0.000734
161	226.000	-0.003071	0.000841	-0.000705
162	228.000	-0.001971	0.000582	-0.000704
163	230.000	-0.002263	0.000564	-0.000724
164	232.000	-0.002409	0.001197	-0.000684
165	234.000	-0.001854	0.000877	-0.000704
166	236.000	-0.002755	0.000750	-0.000685
167	238.000	-0.002006	0.000707	-0.000690
168	240.000	-0.002167	0.000642	-0.000736
169	242.000	-0.002306	0.001008	-0.000741
170	244.000	-0.002487	0.000789	-0.000714
171	246.000	-0.002213	0.000861	-0.000699
172	248.000	-0.003018	0.000951	-0.000742
173	250.000	-0.002016	0.000661	-0.000700
174	252.000	-0.002074	0.000958	-0.000707
175	254.000	-0.002080	0.000625	-0.000706
176	256.000	-0.002237	0.000733	-0.000684
177	258.000	-0.001973	0.001042	-0.000670
178	260.000	-0.001936	0.002103	-0.000671
179	262.000	-0.002284	0.000901	-0.000647
180	264.000	-0.002056	0.000883	-0.000632
181	266.000	-0.002128	0.001117	-0.000654
182	268.000	-0.001967	0.001386	-0.000633
183	270.000	-0.002046	0.000920	-0.000648
184	272.000	-0.002390	0.001016	-0.000619
185	274.000	-0.002209	0.000683	-0.000629
186	276.000	-0.002245	0.000932	-0.000621
187	278.000	-0.001883	0.000870	-0.000636
188	280.000	-0.004861	0.001018	-0.000599
189	282.000	-0.001984	0.000925	-0.000598
190	284.000	-0.001978	0.001329	-0.000573
191	286.000	-0.026393	0.001240	-0.000585
192	288.000	-0.002243	0.000780	-0.000582
193	290.000	-0.002272	0.001144	-0.000576
194	292.000	-0.002205	0.000888	-0.000584
195	294.000	-0.002212	0.003853	-0.000570
196	296.000	-0.002138	0.001130	-0.000548
197	298.000	-0.001895	0.001165	-0.000558
198	300.000	-0.001951	0.000834	-0.000545
199	302.000	-0.002099	0.001356	-0.000519
200	304.000	-0.002025	0.001100	-0.000538
201	306.000	-0.002066	0.001649	-0.000503
202	308.000	-0.001754	0.000894	-0.000542
203	310.000	-0.001846	0.000748	-0.000537
204	312.000	-0.002053	0.000871	-0.000518
205	314.000	-0.001957	0.000995	-0.000511
206	316.000	-0.001812	0.000831	-0.000472
207	318.000	-0.002032	0.000959	-0.000524
208	320.000	-0.001738	0.001367	-0.000508
209	322.000	-0.001948	0.000992	-0.000476
210	324.000	-0.001785	0.000995	-0.000476
211	326.000	-0.002355	0.001324	-0.000514
212	328.000	-0.001865	0.001206	-0.000517
213	330.000	-0.001962	0.001643	-0.000450
214	332.000	-0.001714	0.000831	-0.000478
215	334.000	-0.001713	0.001196	-0.000460
216	336.000	-0.001736	0.001863	-0.000473
217	338.000	-0.002015	0.001270	-0.000450
218	340.000	-0.001983	0.000934	-0.000464
219	342.000	-0.001939	0.001478	-0.000462
220	344.000	-0.002183	0.000808	-0.000459
221	346.000	-0.001904	0.001007	-0.000429
222	348.000	-0.001807	0.001054	-0.000450
223	350.000	-0.001876	0.001268	-0.000430
224	352.000	-0.001918	0.001143	-0.000451
225	354.000	-0.001993	0.000925	-0.000429
226	356.000	-0.001928	0.000877	-0.000426
227	358.000	-0.001914	0.000788	-0.000417
228	360.000	-0.013551	0.001086	-0.000396
229	362.000	-0.002115	0.001191	-0.000355
