wl,n,k,theta
7.699999999999999e-07,2.144528834,7.61216158,-32.28953795806157
7.75e-07,2.189915668,7.610567038,-32.08330323241994
7.799999999999999e-07,2.231500036,7.603853787,-31.8783630131916
7.85e-07,2.275479945,7.589387919,-31.675576789504255
7.9e-07,2.314643646,7.572223927,-31.473599007154164
7.95e-07,2.350258044,7.547894599,-31.27337637149344
8e-07,2.373653298,7.522581337,-31.073166399238726
8.05e-07,2.399438967,7.486541749,-30.87583607227478
8.1e-07,2.409296598,7.449477169,-30.678275557032652
8.149999999999999e-07,2.414395973,7.410756231,-30.481309044126707
8.199999999999999e-07,2.410049326,7.369351244,-30.284820816237904
8.249999999999999e-07,2.399462094,7.325600203,-30.088952730097436
8.299999999999999e-07,2.375277499,7.288411569,-29.8912020567997
8.349999999999999e-07,2.342102357,7.253098886,-29.69287074243471
8.399999999999999e-07,2.301774531,7.225729444,-29.492720910953903
8.45e-07,2.257656113,7.204374444,-29.291411732358743
8.499999999999999e-07,2.204898553,7.188085811,-29.08883306738784
8.55e-07,2.148111401,7.177700369,-28.885159027422368
8.599999999999999e-07,2.092718783,7.181328004,-28.679016675185487
8.65e-07,2.03127715,7.184642431,-28.4731239347515
8.699999999999999e-07,1.973568962,7.198887028,-28.265710820565182
8.75e-07,1.915492386,7.218248477,-28.057831548008405
8.799999999999999e-07,1.854996083,7.243411521,-27.849294176403415
8.85e-07,1.802564727,7.274079983,-27.640749717188356
8.9e-07,1.750120449,7.309782595,-27.431906903377065
8.95e-07,1.694671727,7.350096072,-27.22276955589148
9e-07,1.64715608,7.393045594,-27.014208734928072
9.05e-07,1.602399525,7.439468008,-26.80583603738605
9.1e-07,1.557188172,7.48978204,-26.597474938786096
9.15e-07,1.516837858,7.542665118,-26.389561637310518
9.2e-07,1.483545494,7.592621895,-26.183039155365574
9.25e-07,1.447230511,7.647710517,-25.976239651529692
9.3e-07,1.415213787,7.70342976,-25.77012387373196
9.35e-07,1.385433286,7.756057335,-25.56515995849138
9.399999999999999e-07,1.355589911,7.812465936,-25.360229489619314
9.45e-07,1.325884954,7.872100794,-25.15544534098849
9.499999999999999e-07,1.302164463,7.928721983,-24.951815700184095
9.55e-07,1.280288795,7.985307721,-24.748784304145264
9.6e-07,1.25976713,8.04593147,-24.545791091707226
9.649999999999999e-07,1.23821822,8.1051949,-24.34349893610393
9.7e-07,1.218188621,8.163760378,-24.14184928363072
9.75e-07,1.201067407,8.22268587,-23.940716179900086
9.8e-07,1.182294465,8.279240316,-23.74032862930946
9.849999999999999e-07,1.167631515,8.338247019,-23.540198546831757
9.9e-07,1.153696234,8.399524689,-23.340296087062843
9.95e-07,1.140905235,8.457757667,-23.141214577449453
