# wl, theta
 539.63964, -43.05366
 540.54054, -43.00604
 541.44144, -42.95855
 542.34234, -42.91107
 543.24324, -42.86358
 544.14414, -42.81610
 545.04505, -42.76863
 545.94595, -42.72141
 546.84685, -42.67419
 547.74775, -42.62698
 548.64865, -42.57976
 549.54955, -42.53255
 550.45045, -42.48548
 551.35135, -42.43855
 552.25225, -42.39162
 553.15315, -42.34470
 554.05405, -42.29777
 554.95495, -42.25085
 555.85586, -42.20425
 556.75676, -42.15766
 557.65766, -42.11108
 558.55856, -42.06450
 559.45946, -42.01792
 560.36036, -41.97150
 561.26126, -41.92533
 562.16216, -41.87917
 563.06306, -41.83300
 563.96396, -41.78683
 564.86486, -41.74066
 565.76577, -41.69470
 566.66667, -41.64878
 567.56757, -41.60286
 568.46847, -41.55693
 569.36937, -41.51101
 570.27027, -41.46514
 571.17117, -41.41941
 572.07207, -41.37368
 572.97297, -41.32795
 573.87387, -41.28222
 574.77477, -41.23648
 575.67568, -41.19095
 576.57658, -41.14548
 577.47748, -41.10001
 578.37838, -41.05455
 579.27928, -41.00908
 580.18018, -40.96368
 581.08108, -40.91859
 581.98198, -40.87349
 582.88288, -40.82839
 583.78378, -40.78330
 584.68468, -40.73820
 585.58559, -40.69321
 586.48649, -40.64828
 587.38739, -40.60335
 588.28829, -40.55842
 589.18919, -40.51349
 590.09009, -40.46860
 590.99099, -40.42405
 591.89189, -40.37950
 592.79279, -40.33494
 593.69369, -40.29039
 594.59459, -40.24584
 595.49550, -40.20134
 596.39640, -40.15688
 597.29730, -40.11241
 598.19820, -40.06795
 599.09910, -40.02349
 600.00000, -39.97903
 600.90090, -39.93501
 601.80180, -39.89099
 602.70270, -39.84697
 603.60360, -39.80296
 604.50450, -39.75894
 605.40541, -39.71498
 606.30631, -39.67111
 607.20721, -39.62723
 608.10811, -39.58335
 609.00901, -39.53947
 609.90991, -39.49559
 610.81081, -39.45188
 611.71171, -39.40819
 612.61261, -39.36450
 613.51351, -39.32081
 614.41441, -39.27711
 615.31532, -39.23351
 616.21622, -39.19008
 617.11712, -39.14665
 618.01802, -39.10322
 618.91892, -39.05979
 619.81982, -39.01636
 620.72072, -38.97313
 621.62162, -38.92996
 622.52252, -38.88678
 623.42342, -38.84361
 624.32432, -38.80043
 625.22523, -38.75730
 626.12613, -38.71430
 627.02703, -38.67130
 627.92793, -38.62830
 628.82883, -38.58531
 629.72973, -38.54231
 630.63063, -38.49950
 631.53153, -38.45677
 632.43243, -38.41404
 633.33333, -38.37131
 634.23423, -38.32858
 635.13514, -38.28587
 636.03604, -38.24324
 636.93694, -38.20061
 637.83784, -38.15798
 638.73874, -38.11535
 639.63964, -38.07272
 640.54054, -38.03024
 641.44144, -37.98787
 642.34234, -37.94549
 643.24324, -37.90312
 644.14414, -37.86074
 645.04505, -37.81838
 645.94595, -37.77629
 646.84685, -37.73420
 647.74775, -37.69211
 648.64865, -37.65002
 649.54955, -37.60793
 650.45045, -37.56591
 651.35135, -37.52395
 652.25225, -37.48200
 653.15315, -37.44005
 654.05405, -37.39810
 654.95495, -37.35615
 655.85586, -37.31444
 656.75676, -37.27275
 657.65766, -37.23105
 658.55856, -37.18935
 659.45946, -37.14766
 660.36036, -37.10600
 661.26126, -37.06441
 662.16216, -37.02283
 663.06306, -36.98124
 663.96396, -36.93965
 664.86486, -36.89806
 665.76577, -36.85666
 666.66667, -36.81528
 667.56757, -36.77391
 668.46847, -36.73254
 669.36937, -36.69116
 670.27027, -36.64989
 671.17117, -36.60887
 672.07207, -36.56785
 672.97297, -36.52683
 673.87387, -36.48582
 674.77477, -36.44480
 675.67568, -36.40370
 676.57658, -36.36258
 677.47748, -36.32146
 678.37838, -36.28034
 679.27928, -36.23922
 680.18018, -36.19816
 681.08108, -36.15735
 681.98198, -36.11654
 682.88288, -36.07573
 683.78378, -36.03492
 684.68468, -35.99411
 685.58559, -35.95345
 686.48649, -35.91287
 687.38739, -35.87230
 688.28829, -35.83172
 689.18919, -35.79115
 690.09009, -35.75059
 690.99099, -35.71018
 691.89189, -35.66978
 692.79279, -35.62938
 693.69369, -35.58897
 694.59459, -35.54857
 695.49550, -35.50824
 696.39640, -35.46798
 697.29730, -35.42772
 698.19820, -35.38746
 699.09910, -35.34720
 700.00000, -35.30693
 700.90090, -35.26685
 701.80180, -35.22677
 702.70270, -35.18669
 703.60360, -35.14660
 704.50450, -35.10652
 705.40541, -35.06654
 706.30631, -35.02669
 707.20721, -34.98683
 708.10811, -34.94698
 709.00901, -34.90713
 709.90991, -34.86727
 710.81081, -34.82754
 711.71171, -34.78782
 712.61261, -34.74810
 713.51351, -34.70839
 714.41441, -34.66867
 715.31532, -34.62900
 716.21622, -34.58942
 717.11712, -34.54984
 718.01802, -34.51026
 718.91892, -34.47068
 719.81982, -34.43110
 720.72072, -34.39166
 721.62162, -34.35226
 722.52252, -34.31286
 723.42342, -34.27346
 724.32432, -34.23406
 725.22523, -34.19472
 726.12613, -34.15559
 727.02703, -34.11646
 727.92793, -34.07733
 728.82883, -34.03819
 729.72973, -33.99906
 730.63063, -33.96003
 731.53153, -33.92106
 732.43243, -33.88208
 733.33333, -33.84310
 734.23423, -33.80412
 735.13514, -33.76517
 736.03604, -33.72639
 736.93694, -33.68761
 737.83784, -33.64883
 738.73874, -33.61005
 739.63964, -33.57127
 740.54054, -33.53259
 741.44144, -33.49398
 742.34234, -33.45536
 743.24324, -33.41675
 744.14414, -33.37814
 745.04505, -33.33953
 745.94595, -33.30115
 746.84685, -33.26277
 747.74775, -33.22439
 748.64865, -33.18600
 749.54955, -33.14762
 750.45045, -33.10940
 751.35135, -33.07135
 752.25225, -33.03330
 753.15315, -32.99524
 754.05405, -32.95719
 754.95495, -32.91914
 755.85586, -32.88118
 756.75676, -32.84323
 757.65766, -32.80528
 758.55856, -32.76733
 759.45946, -32.72938
 760.36036, -32.69157
 761.26126, -32.65398
 762.16216, -32.61638
 763.06306, -32.57879
 763.96396, -32.54120
 764.86486, -32.50360
 765.76577, -32.46604
 766.66667, -32.42849
 767.56757, -32.39093
 768.46847, -32.35338
 769.36937, -32.31583
 770.27027, -32.27839
 771.17117, -32.24123
 772.07207, -32.20407
 772.97297, -32.16691
 773.87387, -32.12975
 774.77477, -32.09259
 775.67568, -32.05561
 776.57658, -32.01868
 777.47748, -31.98176
 778.37838, -31.94483
 779.27928, -31.90790
 780.18018, -31.87106
 781.08108, -31.83452
 781.98198, -31.79798
 782.88288, -31.76144
 783.78378, -31.72490
 784.68468, -31.68837
 785.58559, -31.65192
 786.48649, -31.61553
 787.38739, -31.57914
 788.28829, -31.54274
 789.18919, -31.50635
 790.09009, -31.46999
 790.99099, -31.43392
 791.89189, -31.39784
 792.79279, -31.36176
 793.69369, -31.32569
 794.59459, -31.28961
 795.49550, -31.25354
 796.39640, -31.21746
 797.29730, -31.18139
 798.19820, -31.14531
 799.09910, -31.10924
 800.00000, -31.07317
 800.90090, -31.03761
 801.80180, -31.00206
 802.70270, -30.96650
 803.60360, -30.93095
 804.50450, -30.89539
 805.40541, -30.85982
 806.30631, -30.82422
 807.20721, -30.78862
 808.10811, -30.75303
 809.00901, -30.71743
 809.90991, -30.68184
 810.81081, -30.64634
 811.71171, -30.61085
 812.61261, -30.57536
 813.51351, -30.53987
 814.41441, -30.50438
 815.31532, -30.46892
 816.21622, -30.43351
 817.11712, -30.39811
 818.01802, -30.36271
 818.91892, -30.32730
 819.81982, -30.29190
 820.72072, -30.25659
 821.62162, -30.22130
 822.52252, -30.18600
 823.42342, -30.15071
 824.32432, -30.11542
