Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00002
DateTime:      Friday, 09 February 2024, 14:33:06
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00002\Run00001\result.txt
Dimensions:    2
TotalSteps:    1136
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating 35 deg
Probe 750 nm 7 uW
Pump 400 nm 4.44 mW


Constants:
>	DelayLine [ps]	1.702009

Loops:
>	Repeat: 2 times
>	DelayLine: from -20 to 1000 [ps] in 568 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,2,R,0,1
> DelayLine,ps,3,568,R,-20,1000

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      1.702 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
93	0	52.000	-0.003258	0.001173	-0.000538
94	0	54.000	-0.002719	0.001234	-0.000583
95	0	56.000	-0.002648	0.001419	-0.000562
96	0	58.000	-0.002538	0.001214	-0.000489
97	0	60.000	-0.002432	0.001592	-0.000515
98	0	62.000	-0.002452	0.001588	-0.000458
99	0	64.000	-0.002411	0.001396	-0.000495
100	0	66.000	-0.002436	0.001297	-0.000484
101	0	68.000	-0.002228	0.001993	-0.000489
102	0	70.000	-0.002228	0.001257	-0.000443
103	0	72.000	-0.002388	0.001349	-0.000510
104	0	74.000	-0.003807	0.000968	-0.000540
105	0	76.000	-0.002915	0.001838	-0.000536
106	0	78.000	-0.002451	0.001544	-0.000563
107	0	80.000	-0.002706	0.001267	-0.000569
108	0	82.000	-0.002441	0.001314	-0.000587
109	0	84.000	-0.002493	0.001474	-0.000587
110	0	86.000	-0.002290	0.001159	-0.000532
111	0	88.000	-0.002656	0.002323	-0.000516
112	0	90.000	-0.002542	0.001723	-0.000498
113	0	92.000	-0.002687	0.001321	-0.000520
114	0	94.000	-0.002449	0.001297	-0.000588
115	0	96.000	-0.002399	0.002250	-0.000631
116	0	98.000	-0.004727	0.001155	-0.000714
117	0	100.000	-0.002372	0.001057	-0.000725
118	0	102.000	-0.002559	0.001166	-0.000769
119	0	104.000	-0.002656	0.001313	-0.000772
120	0	106.000	-0.002755	0.001153	-0.000761
121	0	108.000	-0.003167	0.001426	-0.000806
122	0	110.000	-0.004919	0.001637	-0.000777
123	0	112.000	-0.002557	0.001284	-0.000766
124	0	114.000	-0.002607	0.001058	-0.000814
125	0	116.000	-0.003323	0.001035	-0.000856
126	0	118.000	-0.002730	0.001070	-0.000891
127	0	120.000	-0.004801	0.001085	-0.000917
128	0	122.000	-0.002976	0.000882	-0.000985
129	0	124.000	-0.003100	0.000934	-0.001027
130	0	126.000	-0.003146	0.000639	-0.001100
131	0	128.000	-0.003071	0.001305	-0.001099
132	0	130.000	-0.002929	0.000951	-0.001101
133	0	132.000	-0.002724	0.001134	-0.001054
134	0	134.000	-0.003034	0.001043	-0.001007
135	0	136.000	-0.003370	0.001025	-0.001005
136	0	138.000	-0.002990	0.002246	-0.000981
137	0	140.000	-0.002688	0.000857	-0.000998
138	0	142.000	-0.002815	0.001173	-0.000953
139	0	144.000	-0.002742	0.000746	-0.000916
