Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 16:52:23
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00007\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +2 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	100.000119

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      100 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
102	108.000	-0.002370	0.001110	-0.000476
103	110.000	-0.002013	0.001256	-0.000521
104	112.000	-0.001924	0.001435	-0.000504
105	114.000	-0.002536	0.000899	-0.000542
106	116.000	-0.002084	0.001133	-0.000566
107	118.000	-0.002075	0.001006	-0.000586
108	120.000	-0.002201	0.001104	-0.000577
109	122.000	-0.002089	0.000903	-0.000579
110	124.000	-0.002399	0.001150	-0.000646
111	126.000	-0.002312	0.000841	-0.000673
112	128.000	-0.002240	0.000909	-0.000679
113	130.000	-0.002302	0.000983	-0.000695
114	132.000	-0.002300	0.000863	-0.000700
115	134.000	-0.002593	0.001015	-0.000701
116	136.000	-0.002092	0.000724	-0.000657
117	138.000	-0.002106	0.000988	-0.000600
118	140.000	-0.002198	0.001253	-0.000587
119	142.000	-0.001996	0.001812	-0.000581
120	144.000	-0.002243	0.001027	-0.000580
121	146.000	-0.002053	0.000949	-0.000566
122	148.000	-0.001984	0.001021	-0.000585
123	150.000	-0.002237	0.001076	-0.000560
124	152.000	-0.002334	0.000842	-0.000545
125	154.000	-0.002468	0.001328	-0.000529
126	156.000	-0.002408	0.001486	-0.000539
127	158.000	-0.002083	0.000887	-0.000520
128	160.000	-0.001992	0.001068	-0.000530
129	162.000	-0.002405	0.001188	-0.000522
130	164.000	-0.002236	0.001128	-0.000565
131	166.000	-0.002393	0.000951	-0.000550
132	168.000	-0.001992	0.001214	-0.000530
133	170.000	-0.002015	0.000900	-0.000520
134	172.000	-0.002089	0.001491	-0.000519
135	174.000	-0.002209	0.001138	-0.000525
136	176.000	-0.002008	0.001267	-0.000492
137	178.000	-0.002057	0.001132	-0.000493
138	180.000	-0.002246	0.001171	-0.000493
139	182.000	-0.002179	0.000977	-0.000503
140	184.000	-0.001984	0.001056	-0.000490
141	186.000	-0.001872	0.000914	-0.000533
142	188.000	-0.002475	0.000935	-0.000559
143	190.000	-0.001862	0.000890	-0.000528
144	192.000	-0.002251	0.001277	-0.000527
145	194.000	-0.002260	0.001199	-0.000502
146	196.000	-0.002174	0.001090	-0.000515
147	198.000	-0.002187	0.001322	-0.000467
148	200.000	-0.001871	0.001268	-0.000435
149	202.000	-0.002195	0.001217	-0.000460
150	204.000	-0.002011	0.001091	-0.000425
151	206.000	-0.002201	0.001351	-0.000471
152	208.000	-0.001935	0.001408	-0.000492
153	210.000	-0.001950	0.001125	-0.000503
154	212.000	-0.002173	0.000894	-0.000485
155	214.000	-0.001967	0.001103	-0.000544
156	216.000	-0.001902	0.001089	-0.000500
157	218.000	-0.002196	0.001200	-0.000547
158	220.000	-0.002765	0.000966	-0.000577
159	222.000	-0.002187	0.001053	-0.000576
160	224.000	-0.004126	0.001178	-0.000595
161	226.000	-0.002091	0.000932	-0.000594
162	228.000	-0.002133	0.000982	-0.000591
163	230.000	-0.002452	0.001184	-0.000609
164	232.000	-0.002343	0.000905	-0.000650
165	234.000	-0.002208	0.001535	-0.000597
166	236.000	-0.002439	0.000804	-0.000627
167	238.000	-0.002386	0.000848	-0.000628
168	240.000	-0.002109	0.001031	-0.000623
169	242.000	-0.002560	0.001006	-0.000613
170	244.000	-0.002638	0.000994	-0.000596
171	246.000	-0.002067	0.000961	-0.000622
172	248.000	-0.002204	0.000833	-0.000588
173	250.000	-0.002602	0.000951	-0.000602
174	252.000	-0.002016	0.001015	-0.000637
175	254.000	-0.001996	0.001169	-0.000592
176	256.000	-0.002085	0.000971	-0.000588
177	258.000	-0.002186	0.001120	-0.000611
178	260.000	-0.002236	0.001301	-0.000611
179	262.000	-0.002060	0.001132	-0.000579
180	264.000	-0.001957	0.001179	-0.000596
181	266.000	-0.002438	0.000871	-0.000607
182	268.000	-0.002256	0.001214	-0.000606
183	270.000	-0.002255	0.001424	-0.000649
184	272.000	-0.002068	0.001304	-0.000610
185	274.000	-0.002402	0.001646	-0.000592
186	276.000	-0.002196	0.000854	-0.000573
187	278.000	-0.002100	0.000882	-0.000582
188	280.000	-0.002176	0.001425	-0.000550
189	282.000	-0.002389	0.000949	-0.000567
190	284.000	-0.001878	0.001534	-0.000528
191	286.000	-0.001907	0.001185	-0.000538
192	288.000	-0.002324	0.001070	-0.000501
193	290.000	-0.002245	0.001136	-0.000479
194	292.000	-0.001796	0.001214	-0.000472
195	294.000	-0.002333	0.001513	-0.000475
196	296.000	-0.001905	0.001040	-0.000438
197	298.000	-0.002307	0.001266	-0.000430
198	300.000	-0.002165	0.000960	-0.000483
199	302.000	-0.005434	0.001344	-0.000445
200	304.000	-0.002123	0.001426	-0.000435
201	306.000	-0.001872	0.001308	-0.000442
202	308.000	-0.001925	0.000950	-0.000427
203	310.000	-0.002046	0.001919	-0.000419
204	312.000	-0.001817	0.001193	-0.000427
205	314.000	-0.001899	0.000975	-0.000411
206	316.000	-0.001993	0.001196	-0.000416
207	318.000	-0.002057	0.001380	-0.000443
208	320.000	-0.001802	0.001252	-0.000383
209	322.000	-0.001871	0.001094	-0.000387
210	324.000	-0.002052	0.001844	-0.000378
211	326.000	-0.001932	0.001334	-0.000344
212	328.000	-0.001969	0.001262	-0.000350
213	330.000	-0.002253	0.001064	-0.000322
214	332.000	-0.002168	0.001101	-0.000324
215	334.000	-0.002110	0.001221	-0.000289
216	336.000	-0.001832	0.007096	-0.000300
217	338.000	-0.001919	0.001419	-0.000307
218	340.000	-0.001806	0.001415	-0.000265
219	342.000	-0.001922	0.001304	-0.000253
220	344.000	-0.002260	0.001324	-0.000254
221	346.000	-0.002056	0.002337	-0.000288
222	348.000	-0.001826	0.001913	-0.000234
223	350.000	-0.002250	0.001561	-0.000252
224	352.000	-0.001795	0.001906	-0.000213
225	354.000	-0.001994	0.001233	-0.000212
226	356.000	-0.001898	0.001602	-0.000173
227	358.000	-0.001734	0.001502	-0.000195
228	360.000	-0.001921	0.001408	-0.000209
229	362.000	-0.001731	0.001460	-0.000183
230	364.000	-0.001632	0.001505	-0.000192
231	366.000	-0.002231	0.001264	-0.000154
232	368.000	-0.001637	0.001355	-0.000122
233	370.000	-0.001951	0.001596	-0.000147
234	372.000	-0.001819	0.001447	-0.000160
235	374.000	-0.002036	0.001407	-0.000114
236	376.000	-0.001443	0.001766	-0.000131
237	378.000	-0.002195	0.001395	-0.000125
238	380.000	-0.001708	0.001398	-0.000138
239	382.000	-0.001630	0.001557	-0.000122
240	384.000	-0.001547	0.001669	-0.000137
241	386.000	-0.001781	0.009167	-0.000115
242	388.000	-0.001723	0.001850	-0.000140
243	390.000	-0.001512	0.001824	-0.000132
244	392.000	-0.001722	0.001372	-0.000137
245	394.000	-0.001840	0.001334	-0.000122
246	396.000	-0.001838	0.001597	-0.000129
247	398.000	-0.002163	0.001380	-0.000118
248	400.000	-0.001881	0.001411	-0.000108
249	402.000	-0.001909	0.001555	-0.000104
250	404.000	-0.001487	0.001454	-0.000115
251	406.000	-0.001668	0.001625	-0.000101
252	408.000	-0.001536	0.001270	-0.000075
253	410.000	-0.001768	0.001712	-0.000104
254	412.000	-0.002060	0.001608	-0.000120
255	414.000	-0.002287	0.001577	-0.000143
256	416.000	-0.002384	0.001540	-0.000113
257	418.000	-0.001625	0.001410	-0.000115
258	420.000	-0.001653	0.002356	-0.000096
259	422.000	-0.001638	0.001454	-0.000088
260	424.000	-0.001565	0.002062	-0.000134
261	426.000	-0.001800	0.001495	-0.000119
262	428.000	-0.002008	0.001553	-0.000128
263	430.000	-0.002114	0.001475	-0.000147
264	432.000	-0.002000	0.001465	-0.000130
265	434.000	-0.001964	0.001534	-0.000164
266	436.000	-0.001613	0.001529	-0.000134
267	438.000	-0.001538	0.001632	-0.000136
268	440.000	-0.001973	0.001519	-0.000198
269	442.000	-0.001758	0.001563	-0.000171
270	444.000	-0.001619	0.001451	-0.000189
271	446.000	-0.002139	0.001767	-0.000222
272	448.000	-0.001978	0.001709	-0.000189
273	450.000	-0.002009	0.001497	-0.000208
274	452.000	-0.001935	0.001237	-0.000204
275	454.000	-0.001751	0.001261	-0.000226
276	456.000	-0.001790	0.001740	-0.000215
277	458.000	-0.001805	0.001292	-0.000239
278	460.000	-0.001869	0.001157	-0.000251
279	462.000	-0.002219	0.001415	-0.000269
280	464.000	-0.002894	0.001275	-0.000271
281	466.000	-0.002058	0.001447	-0.000296
282	468.000	-0.001982	0.001380	-0.000310
283	470.000	-0.001966	0.001256	-0.000329
284	472.000	-0.001800	0.001427	-0.000331
285	474.000	-0.001923	0.001667	-0.000396
286	476.000	-0.001991	0.001033	-0.000370
287	478.000	-0.002043	0.001533	-0.000437
288	480.000	-0.001965	0.001047	-0.000432
289	482.000	-0.002253	0.001028	-0.000463
290	484.000	-0.002068	0.001624	-0.000469
291	486.000	-0.002010	0.001165	-0.000491
292	488.000	-0.002036	0.001406	-0.000518
293	490.000	-0.001904	0.001096	-0.000489
294	492.000	-0.002124	0.001324	-0.000518
295	494.000	-0.002522	0.001078	-0.000544
296	496.000	-0.002385	0.001499	-0.000515
297	498.000	-0.002088	0.001336	-0.000544
298	500.000	-0.002584	0.001185	-0.000535
