Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 17:29:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00009\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -3 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
106	116.000	-0.000475	0.002778	0.001101
107	118.000	-0.000670	0.002639	0.001086
108	120.000	-0.000741	0.003160	0.001054
109	122.000	-0.000389	0.002902	0.001064
110	124.000	-0.000562	0.002460	0.001024
111	126.000	-0.000537	0.002782	0.000981
112	128.000	-0.000379	0.002712	0.001034
113	130.000	-0.001423	0.003040	0.001053
114	132.000	-0.000539	0.002834	0.001119
115	134.000	-0.000711	0.002836	0.001110
116	136.000	-0.000278	0.002845	0.001182
117	138.000	-0.000452	0.002648	0.001017
118	140.000	-0.000379	0.002739	0.001062
119	142.000	-0.000865	0.002605	0.001054
120	144.000	-0.000511	0.002525	0.001020
121	146.000	-0.000706	0.002947	0.001086
122	148.000	-0.001562	0.002527	0.001093
123	150.000	-0.000587	0.002425	0.001013
124	152.000	-0.000626	0.002880	0.001013
125	154.000	-0.000530	0.002701	0.000944
126	156.000	-0.000913	0.002742	0.000996
127	158.000	-0.000372	0.002568	0.000979
128	160.000	-0.000747	0.002755	0.000955
129	162.000	-0.000689	0.007655	0.000949
130	164.000	-0.001033	0.002748	0.000942
131	166.000	-0.000549	0.002631	0.001070
132	168.000	-0.002751	0.002640	0.000978
133	170.000	-0.001124	0.002821	0.001005
134	172.000	-0.000744	0.002520	0.001034
135	174.000	-0.001661	0.002813	0.000999
136	176.000	-0.000965	0.003338	0.000928
137	178.000	-0.000705	0.002606	0.000950
138	180.000	-0.001032	0.002574	0.000931
139	182.000	-0.000923	0.002513	0.000958
140	184.000	-0.001391	0.002805	0.001020
141	186.000	-0.000428	0.002641	0.000925
142	188.000	-0.002936	0.002739	0.000917
143	190.000	-0.000616	0.002802	0.000910
144	192.000	-0.000650	0.003194	0.000909
145	194.000	-0.000526	0.002822	0.000917
146	196.000	-0.000556	0.002459	0.000945
147	198.000	-0.000720	0.002501	0.000922
148	200.000	-0.001287	0.002223	0.000916
149	202.000	-0.003783	0.002540	0.000925
150	204.000	-0.000556	0.002516	0.000968
151	206.000	-0.000619	0.002671	0.000887
152	208.000	-0.001441	0.003221	0.000896
153	210.000	-0.000631	0.002748	0.000928
154	212.000	-0.000793	0.002522	0.000926
155	214.000	-0.000670	0.021393	0.000893
156	216.000	-0.001302	0.002587	0.000850
157	218.000	-0.000809	0.002485	0.000879
158	220.000	-0.000633	0.002711	0.000910
159	222.000	-0.000525	0.002817	0.000923
160	224.000	-0.000756	0.002287	0.000886
161	226.000	-0.001825	0.002501	0.000956
162	228.000	-0.000804	0.002576	0.000927
163	230.000	-0.012594	0.002592	0.000924
164	232.000	-0.000680	0.002808	0.000961
165	234.000	-0.001049	0.002512	0.000923
166	236.000	-0.000578	0.002679	0.000954
167	238.000	-0.000429	0.002555	0.000945
168	240.000	-0.000750	0.002535	0.000969
169	242.000	-0.000602	0.002494	0.000968
170	244.000	-0.000748	0.004032	0.000936
171	246.000	-0.000560	0.002658	0.000960
172	248.000	-0.000495	0.005487	0.000943
173	250.000	-0.000879	0.002557	0.000929
174	252.000	-0.002996	0.002545	0.000892
175	254.000	-0.000958	0.002368	0.000880
176	256.000	-0.000598	0.002834	0.000923
177	258.000	-0.000594	0.004329	0.000937
178	260.000	-0.000460	0.002412	0.000871
179	262.000	-0.000950	0.002548	0.000898
180	264.000	-0.000620	0.003036	0.000905
181	266.000	-0.000823	0.002455	0.000905
182	268.000	-0.000762	0.002511	0.000857
183	270.000	-0.000643	0.002377	0.000831
184	272.000	-0.001257	0.002478	0.000810
185	274.000	-0.000876	0.003966	0.000865
186	276.000	-0.000955	0.002519	0.000811
187	278.000	-0.001107	0.002664	0.000827
188	280.000	-0.000813	0.002821	0.000834
189	282.000	-0.001319	0.002321	0.000792
190	284.000	-0.001132	0.002475	0.000872
191	286.000	-0.000603	0.002287	0.000901
192	288.000	-0.000624	0.002752	0.000931
193	290.000	-0.000690	0.002496	0.000878
194	292.000	-0.000473	0.002622	0.000864
195	294.000	-0.001038	0.002564	0.000890
196	296.000	-0.000737	0.002870	0.000860
197	298.000	-0.000613	0.002327	0.000906
198	300.000	-0.000561	0.002513	0.000871
199	302.000	-0.001541	0.002692	0.000887
200	304.000	-0.000674	0.002679	0.000863
201	306.000	-0.000799	0.002435	0.000873
202	308.000	-0.000632	0.002893	0.000865
203	310.000	-0.000777	0.002507	0.000901
204	312.000	-0.000621	0.002254	0.000823
205	314.000	-0.000782	0.003000	0.000849
206	316.000	-0.000622	0.002544	0.000889
207	318.000	-0.000643	0.002451	0.000915
208	320.000	-0.000564	0.002341	0.000900
209	322.000	-0.000908	0.002754	0.000951
210	324.000	-0.000775	0.002506	0.000890
211	326.000	-0.000795	0.002693	0.000957
212	328.000	-0.000587	0.003225	0.000945
213	330.000	-0.000579	0.002637	0.000971
214	332.000	-0.000649	0.002613	0.000954
215	334.000	-0.000432	0.002942	0.000957
216	336.000	-0.000738	0.002819	0.000991
217	338.000	-0.000623	0.002443	0.000965
218	340.000	-0.000603	0.003170	0.000999
219	342.000	-0.000658	0.003071	0.000924
220	344.000	-0.000722	0.002637	0.000944
221	346.000	-0.000639	0.002393	0.000949
222	348.000	-0.000638	0.002669	0.000973
223	350.000	-0.027437	0.002787	0.000928
224	352.000	-0.000820	0.002608	0.000989
225	354.000	-0.000541	0.002691	0.001054
226	356.000	-0.000996	0.002480	0.000963
227	358.000	-0.000838	0.002906	0.000986
