# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
2.700000000000000000e+01 5.189650611799797808e+00 5.191095453961192874e+00 6.110591338837465081e+00 6.107483513297822242e+00
2.800000000000000000e+01 5.193691974552834267e+00 5.198420963562003116e+00 6.114599321166328316e+00 6.115436694953316099e+00
2.900000000000000000e+01 5.193725606520525950e+00 5.193525576256265097e+00 6.114713030711494746e+00 6.110014222744902135e+00
3.000000000000000000e+01 5.195086048331446271e+00 5.199305424204990089e+00 6.115625521298144740e+00 6.116020466838296699e+00
3.100000000000000000e+01 5.193278694327957190e+00 5.200237769113447150e+00 6.113118120554314139e+00 6.117070128564929377e+00
3.200000000000000000e+01 5.192637832103166318e+00 5.193342435318744066e+00 6.112054284647999935e+00 6.109016126030794247e+00
3.300000000000000000e+01 5.200512114237628047e+00 5.204574376122423907e+00 6.120500906618141279e+00 6.121021972440768621e+00
3.400000000000000000e+01 5.197205945501710112e+00 5.202258048800436185e+00 6.116510221882009546e+00 6.118325268638693082e+00
3.500000000000000000e+01 5.194326431372980224e+00 5.201600289226529839e+00 6.113502414926920814e+00 6.117604965581020515e+00
3.600000000000000000e+01 5.186471929303130501e+00 5.199240639824215471e+00 6.103985152263429192e+00 6.114943495960807773e+00
3.700000000000000000e+01 5.183618358410571503e+00 5.186004834014334541e+00 6.101260097224445289e+00 6.100433851957363096e+00
3.800000000000000000e+01 5.188010221006134515e+00 5.188502216606020845e+00 6.105278328887543182e+00 6.102552632626975893e+00
3.900000000000000000e+01 5.183419125003465133e+00 5.192531809360994899e+00 6.100553168972671081e+00 6.107322959059462875e+00
4.000000000000000000e+01 5.194315699432743294e+00 5.195423415211259055e+00 6.112935861053782283e+00 6.110621449084792545e+00
4.100000000000000000e+01 5.189830385256565926e+00 5.193334427503528694e+00 6.108699895953827230e+00 6.108498261910686900e+00
4.200000000000000000e+01 5.189527133039273821e+00 5.190859305904124810e+00 6.106762893641965562e+00 6.104944723750008073e+00
4.300000000000000000e+01 5.189264798870029338e+00 5.197175036366452616e+00 6.106003114809741561e+00 6.112127556955637253e+00
4.400000000000000000e+01 5.198123957102527726e+00 5.202356464050930107e+00 6.116607677841075841e+00 6.118336158795398383e+00
4.500000000000000000e+01 5.195643708493406621e+00 5.202535758333280747e+00 6.113697722838486115e+00 6.118469969513207651e+00
4.600000000000000000e+01 5.192347469596817255e+00 5.194187015765718840e+00 6.110191350075057315e+00 6.109288472284719163e+00
4.700000000000000000e+01 5.195050013562962476e+00 5.200714791090575773e+00 6.113346503037300650e+00 6.116583333081674567e+00
4.800000000000000000e+01 5.197085107199369780e+00 5.197894132633821052e+00 6.115417076159742393e+00 6.113459570921820685e+00
4.900000000000000000e+01 5.195737240589678230e+00 5.198098813633288628e+00 6.112091120935467359e+00 6.111816214805379843e+00
5.000000000000000000e+01 5.195739320937531325e+00 5.197909027142865845e+00 6.111506709455517772e+00 6.111448733596104965e+00
5.100000000000000000e+01 5.192052062674510360e+00 5.199309825904744109e+00 6.108101074885473381e+00 6.113894072770110100e+00
