# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
2.000000000000000111e-01 4.762519355573288315e+00 4.761143142855750021e+00 6.048471756782473285e+00 6.047595866898936023e+00
2.999999999999999889e-01 4.760608142179124869e+00 4.762595908148610668e+00 6.049289671315177586e+00 6.051976844813029999e+00
4.000000000000000222e-01 4.771576294763983483e+00 4.768144486851470631e+00 6.061640572808825844e+00 6.057307633130152524e+00
5.000000000000000000e-01 4.765069027669569302e+00 4.770918536569021207e+00 6.054477202805538028e+00 6.061363021457070843e+00
5.999999999999999778e-01 4.762682315107480413e+00 4.762625697176627426e+00 6.051881958900398040e+00 6.051519920416185805e+00
6.999999999999999556e-01 4.769492675440624829e+00 4.768362299668017279e+00 6.062223140805790500e+00 6.059933071868568000e+00
8.000000000000000444e-01 4.770443356098941656e+00 4.769375040362865192e+00 6.062347740199211188e+00 6.060334900809309921e+00
9.000000000000000222e-01 4.774114516086954474e+00 4.779588141982324956e+00 6.066615255992845235e+00 6.072675394016305184e+00
1.000000000000000000e+00 4.767419304819386916e+00 4.769627445471225080e+00 6.057926637549339688e+00 6.059754736956383780e+00
1.100000000000000089e+00 4.762749337013555184e+00 4.769388972827790063e+00 6.054938847991715889e+00 6.061868871754600541e+00
1.199999999999999956e+00 4.759727126741501557e+00 4.761552416630431495e+00 6.052988868829292990e+00 6.053725747006288849e+00
1.300000000000000044e+00 4.765753529705796687e+00 4.764710037955200761e+00 6.060526367044572815e+00 6.057421104447857196e+00
1.399999999999999911e+00 4.765540443092698197e+00 4.758642157288106134e+00 6.057778732796633925e+00 6.047450202784259154e+00
1.500000000000000000e+00 4.766687235368497255e+00 4.759474163161558913e+00 6.057034089247482989e+00 6.045972523402272536e+00
1.600000000000000089e+00 4.762355036639015715e+00 4.766409766127791769e+00 6.052890377863206162e+00 6.056527835816250871e+00
1.699999999999999956e+00 4.753458089655596908e+00 4.757878936685090210e+00 6.044290082180299173e+00 6.047885024409660026e+00
1.800000000000000044e+00 4.757212209594480434e+00 4.764035543947817253e+00 6.046604576724132762e+00 6.052898622442997478e+00
1.899999999999999911e+00 4.763730048281547447e+00 4.769347814941711228e+00 6.053056777465645411e+00 6.058273856943532820e+00
2.000000000000000000e+00 4.769756450904981904e+00 4.771042897876748512e+00 6.061201506000743144e+00 6.060798473595015778e+00
3.000000000000000000e+00 4.764573665306224726e+00 4.760363744055176483e+00 6.054075046796646653e+00 6.047491038364280591e+00
4.000000000000000000e+00 4.757582889646917224e+00 4.757359232752300215e+00 6.045353760795479481e+00 6.044181739933461195e+00
5.000000000000000000e+00 4.764402779982924052e+00 4.763016155536354823e+00 6.053682505439462069e+00 6.051234442265080560e+00
6.000000000000000000e+00 4.759482570300946236e+00 4.764105131447398556e+00 6.047485593938568549e+00 6.053329281679954654e+00
7.000000000000000000e+00 4.754399644401905434e+00 4.752632892699382161e+00 6.042240811950168045e+00 6.040045397265299876e+00
8.000000000000000000e+00 4.757322796656573871e+00 4.753347745519581835e+00 6.045384428871145133e+00 6.041095859348726727e+00
9.000000000000000000e+00 4.762624176326053060e+00 4.764805651038943601e+00 6.051135307222231141e+00 6.055051278532855186e+00
1.000000000000000000e+01 4.757098741879580928e+00 4.755544193138946163e+00 6.041456450992998661e+00 6.041291246418063032e+00
1.100000000000000000e+01 4.754234122606329827e+00 4.757845782915452126e+00 6.038138657074078708e+00 6.044334845949508761e+00
1.200000000000000000e+01 4.764832076422949036e+00 4.762702733627492968e+00 6.050965061306011528e+00 6.050698484545591782e+00
1.300000000000000000e+01 4.758036208367497188e+00 4.760902267416661005e+00 6.042421065156822202e+00 6.048762438421601217e+00
1.400000000000000000e+01 4.766301743586314643e+00 4.767545347710523629e+00 6.052362826735945056e+00 6.056814036084700703e+00
1.500000000000000000e+01 4.762476433465359094e+00 4.764507522755017099e+00 6.046895421793493597e+00 6.052895421987596336e+00
1.600000000000000000e+01 4.767962391539256828e+00 4.765689547721955854e+00 6.054517640221472874e+00 6.055040307721673898e+00
