# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
6.400000000000000000e+01 4.721516728966121512e+00 4.732060948473464812e+00 6.227473622684081001e+00 6.232976259870263824e+00
6.500000000000000000e+01 4.725926764072022834e+00 4.731471498621649729e+00 6.234040419320341364e+00 6.232977624644781223e+00
6.600000000000000000e+01 4.736786969780824030e+00 4.740951247062535678e+00 6.247231263956477321e+00 6.244309780421380296e+00
6.700000000000000000e+01 4.727617202178272748e+00 4.740721023154650382e+00 6.234825583093827284e+00 6.243537186347635881e+00
6.800000000000000000e+01 4.725530940695787052e+00 4.734777743330650601e+00 6.232505725422480936e+00 6.235940750380501107e+00
6.900000000000000000e+01 4.733426273496537995e+00 4.742440690158785443e+00 6.243572183092428673e+00 6.246476369178287413e+00
7.000000000000000000e+01 4.734109494603498725e+00 4.742331944574473823e+00 6.244667086938329170e+00 6.246539310063409900e+00
7.100000000000000000e+01 4.725313771111244954e+00 4.738231730133828812e+00 6.233504620300065469e+00 6.241633732210193131e+00
7.200000000000000000e+01 4.723220619790278185e+00 4.733205338243243965e+00 6.230684588227042298e+00 6.234711070641756336e+00
7.300000000000000000e+01 4.720466510949514749e+00 4.727531358182230470e+00 6.227471700555157419e+00 6.227774954814922381e+00
7.400000000000000000e+01 4.722291721019928445e+00 4.729587511958547097e+00 6.230336172536170558e+00 6.230550299461910413e+00
7.500000000000000000e+01 4.731899593515533020e+00 4.738147649657998173e+00 6.242642156912325824e+00 6.241280110087714661e+00
7.600000000000000000e+01 4.728162289759036518e+00 4.736569959498313054e+00 6.237562406958357286e+00 6.239355994187534726e+00
7.700000000000000000e+01 4.724191241087345006e+00 4.725328583635650226e+00 6.231698617022559006e+00 6.223669197537223141e+00
7.800000000000000000e+01 4.728772401923015956e+00 4.737059233646534473e+00 6.237761562569158258e+00 6.238808580847157614e+00
7.900000000000000000e+01 4.729823580768996116e+00 4.738756159040395488e+00 6.239367366449434904e+00 6.241191062384845445e+00
8.000000000000000000e+01 4.723011298431440963e+00 4.729400210537231253e+00 6.230220940118557316e+00 6.228829824079628708e+00
8.100000000000000000e+01 4.724878388092474957e+00 4.734455029576847274e+00 6.232188055673526073e+00 6.234668709255815067e+00
8.200000000000000000e+01 4.730334635010695621e+00 4.734896737437217062e+00 6.240983577967659457e+00 6.237335465965746728e+00
8.300000000000000000e+01 4.734370467034803021e+00 4.743349890899148491e+00 6.245185831012949329e+00 6.246972771340801422e+00
8.400000000000000000e+01 4.729702102963505794e+00 4.742265320418121100e+00 6.238661478834798935e+00 6.244849825475125016e+00
8.500000000000000000e+01 4.739419281426288322e+00 4.743908913298587215e+00 6.250416046184471774e+00 6.246789634186705520e+00
8.600000000000000000e+01 4.736212011775145392e+00 4.744124401388408963e+00 6.246394847881134638e+00 6.247172004926865974e+00
8.700000000000000000e+01 4.724127338951771726e+00 4.733124939421793798e+00 6.230777719561048755e+00 6.232928933035196017e+00
8.800000000000000000e+01 4.736737082220735751e+00 4.738761523699934308e+00 6.246563975881486819e+00 6.240084703642120978e+00
8.900000000000000000e+01 4.735086601707283904e+00 4.741841709054014586e+00 6.245979324979575864e+00 6.245136583078517489e+00
9.000000000000000000e+01 4.730387967284483075e+00 4.738129230993052943e+00 6.240063162816042563e+00 6.240499027584300862e+00
9.100000000000000000e+01 4.736633542363868798e+00 4.743195021325318450e+00 6.248104677731912915e+00 6.246852655605373172e+00
9.200000000000000000e+01 4.733658096849254981e+00 4.737626904740555922e+00 6.243493943868276830e+00 6.238545686557348979e+00
9.300000000000000000e+01 4.729288581719530704e+00 4.730987188005133959e+00 6.239716745575569767e+00 6.231469272859739839e+00
9.400000000000000000e+01 4.730325987341235106e+00 4.736230431144642594e+00 6.241388854277517773e+00 6.237650655136448563e+00
9.500000000000000000e+01 4.729903097361105146e+00 4.737780253213761839e+00 6.239812999298764318e+00 6.238134645971965320e+00
9.600000000000000000e+01 4.724425548368133221e+00 4.729161819378281173e+00 6.233340135995292464e+00 6.227503572369967877e+00
9.700000000000000000e+01 4.718992763211844910e+00 4.733529412518641344e+00 6.226667158710132988e+00 6.233263180850461715e+00
9.800000000000000000e+01 4.723087290657669080e+00 4.731219413101354299e+00 6.232766295960264102e+00 6.230617323237943594e+00
9.900000000000000000e+01 4.730151738024083841e+00 4.737233402204894972e+00 6.242388546986936682e+00 6.238396098549163327e+00
1.000000000000000000e+02 4.713538117997037702e+00 4.721462196463600769e+00 6.220908274286564676e+00 6.217753116990785145e+00
1.010000000000000000e+02 4.718196150311364967e+00 4.730199463797967852e+00 6.226144407937820091e+00 6.228273679427796417e+00
1.020000000000000000e+02 4.722796209660075739e+00 4.732735763708084242e+00 6.232505164059275238e+00 6.231955748551302854e+00
1.030000000000000000e+02 4.720921031201940288e+00 4.734397134356941095e+00 6.231442206873938794e+00 6.234499106240908972e+00
1.040000000000000000e+02 4.718393221293466944e+00 4.728402443250033116e+00 6.228219789011077090e+00 6.227421412181877614e+00
1.050000000000000000e+02 4.719496130045953031e+00 4.732788774359002026e+00 6.229483579217118816e+00 6.232109496691893291e+00
1.060000000000000000e+02 4.712513042174380828e+00 4.722776269389577841e+00 6.221102378063902094e+00 6.220129749760231697e+00
1.070000000000000000e+02 4.721096079757553632e+00 4.734141685693413315e+00 6.232875199918487930e+00 6.235130999153145837e+00
1.080000000000000000e+02 4.732285886257280083e+00 4.739357782811431719e+00 6.246112653198058418e+00 6.240736541213811606e+00
1.090000000000000000e+02 4.726386729995658342e+00 4.739268574363873832e+00 6.238882495343711199e+00 6.240843761089570840e+00
1.100000000000000000e+02 4.729235169710825026e+00 4.736616003969897015e+00 6.241270498317801341e+00 6.236156157394376898e+00
1.110000000000000000e+02 4.730494309792238283e+00 4.743921645453665015e+00 6.243863582890562647e+00 6.245881629468929219e+00
1.120000000000000000e+02 4.722992558784030237e+00 4.735839410906874214e+00 6.234570132518761021e+00 6.236029233172422082e+00
1.130000000000000000e+02 4.728457776506820309e+00 4.739675770977338054e+00 6.240421111811078170e+00 6.239890677151371357e+00
1.140000000000000000e+02 4.728150357068109599e+00 4.743404424006956610e+00 6.241159187379341944e+00 6.245187753457425828e+00
1.150000000000000000e+02 4.733155290121937142e+00 4.743622315869816752e+00 6.248447890226359824e+00 6.246264883815284996e+00
1.160000000000000000e+02 4.733940290361608128e+00 4.745165651188970379e+00 6.249037903373936942e+00 6.248140308972530477e+00
1.170000000000000000e+02 4.731325276062177565e+00 4.745657969194190251e+00 6.245736128506952589e+00 6.247780840623684995e+00
1.180000000000000000e+02 4.734433007912987712e+00 4.746068045492787491e+00 6.250162598588742568e+00 6.248535813185471355e+00
1.190000000000000000e+02 4.730905989334972972e+00 4.750378784147616607e+00 6.245338460469604946e+00 6.253913290864288044e+00
1.200000000000000000e+02 4.735909077903104780e+00 4.747632841699615192e+00 6.251727801252498828e+00 6.250269660543110284e+00
1.210000000000000000e+02 4.740771071976779716e+00 4.751696621674025067e+00 6.258102813450574509e+00 6.254970800958279398e+00
1.220000000000000000e+02 4.735565865847075173e+00 4.749869810783176938e+00 6.250355265981003328e+00 6.251185434071726554e+00
1.230000000000000000e+02 4.728669661484624420e+00 4.735404510286372215e+00 6.245078767145707310e+00 6.234938492898405293e+00
1.240000000000000000e+02 4.720591032109043184e+00 4.740121080499581474e+00 6.234087985217893646e+00 6.240544188803998971e+00
1.250000000000000000e+02 4.730207071850335510e+00 4.745910052034974846e+00 6.248877427194240219e+00 6.249551441745142988e+00
1.260000000000000000e+02 4.725542550636887995e+00 4.744783120980799573e+00 6.241612431652345805e+00 6.246310287899276226e+00
1.270000000000000000e+02 4.732167931733751054e+00 4.746381710182389746e+00 6.250606149113352217e+00 6.247867243472811083e+00
1.280000000000000000e+02 4.724110362522476514e+00 4.733656494918530910e+00 6.240825985820357857e+00 6.232354694247868032e+00
1.290000000000000000e+02 4.718853666964789362e+00 4.735710166273446653e+00 6.233999656636278530e+00 6.234910144736333315e+00
1.300000000000000000e+02 4.733904174591460290e+00 4.751304399898636177e+00 6.254011305729851422e+00 6.255433408185972155e+00
1.310000000000000000e+02 4.727955369236566341e+00 4.744215850209658747e+00 6.244637217265291085e+00 6.245309471185400696e+00
1.320000000000000000e+02 4.730372831809565248e+00 4.751739142852595243e+00 6.248402322960418864e+00 6.254723840450956196e+00
1.330000000000000000e+02 4.724747380910613082e+00 4.745525199423565432e+00 6.240126987176336293e+00 6.247043239789837443e+00
1.340000000000000000e+02 4.730006557590640703e+00 4.746305315613030373e+00 6.245673106657616103e+00 6.247614035836163815e+00
1.350000000000000000e+02 4.725739060956238191e+00 4.745745734662419224e+00 6.239814840526886286e+00 6.246246547182122022e+00
1.360000000000000000e+02 4.728060590650668082e+00 4.740260095452213385e+00 6.243189646215927979e+00 6.239848792007578915e+00
1.370000000000000000e+02 4.721148451302362936e+00 4.737824375595346638e+00 6.234452257562378641e+00 6.237060639137842699e+00
1.380000000000000000e+02 4.723252490160638750e+00 4.736874654794858586e+00 6.237320970266291731e+00 6.236336493322758301e+00
1.390000000000000000e+02 4.727927982668626683e+00 4.741538936555868666e+00 6.242794062202680294e+00 6.242118205565817313e+00
1.400000000000000000e+02 4.733566728425599557e+00 4.745955056358259760e+00 6.249622793436505397e+00 6.247650311621220531e+00
1.410000000000000000e+02 4.725106607812340265e+00 4.739481021165168784e+00 6.237735935523661901e+00 6.238506206391195796e+00
1.420000000000000000e+02 4.726146496822562604e+00 4.744571155484258007e+00 6.239964268256920299e+00 6.246029534465998623e+00
1.430000000000000000e+02 4.726374637524591193e+00 4.739042835619673433e+00 6.239622254105829491e+00 6.238661635985938148e+00
