Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:58:50
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00003\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
106	116.000	-0.001696	0.005042	0.001481
107	118.000	-0.002497	0.005497	0.001474
108	120.000	-0.002470	0.005641	0.001361
109	122.000	-0.002264	0.005435	0.001425
110	124.000	-0.001961	0.006579	0.001578
111	126.000	-0.002216	0.005402	0.001557
112	128.000	-0.001702	0.004959	0.001648
113	130.000	-0.001675	0.005872	0.001637
114	132.000	-0.001485	0.005357	0.001609
115	134.000	-0.003589	0.007836	0.001571
116	136.000	-0.002921	0.004927	0.001642
117	138.000	-0.001979	0.005117	0.001519
118	140.000	-0.002299	0.004844	0.001522
119	142.000	-0.002369	0.005023	0.001443
120	144.000	-0.002333	0.004848	0.001427
121	146.000	-0.002730	0.005032	0.001512
122	148.000	-0.001954	0.006115	0.001396
123	150.000	-0.002341	0.005480	0.001446
124	152.000	-0.002071	0.005734	0.001457
125	154.000	-0.003601	0.005406	0.001477
126	156.000	-0.003005	0.005538	0.001466
127	158.000	-0.002391	0.005065	0.001496
128	160.000	-0.001980	0.005237	0.001502
129	162.000	-0.001929	0.004809	0.001453
130	164.000	-0.002308	0.004947	0.001503
131	166.000	-0.002648	0.006428	0.001475
132	168.000	-0.001702	0.005667	0.001468
133	170.000	-0.002176	0.004834	0.001439
134	172.000	-0.002064	0.005638	0.001465
135	174.000	-0.002183	0.006006	0.001542
136	176.000	-0.002118	0.005408	0.001507
137	178.000	-0.002285	0.005167	0.001458
138	180.000	-0.002206	0.005694	0.001456
139	182.000	-0.002393	0.005168	0.001523
140	184.000	-0.002727	0.005484	0.001470
141	186.000	-0.003219	0.006637	0.001462
142	188.000	-0.002170	0.007829	0.001394
143	190.000	-0.002438	0.005554	0.001438
144	192.000	-0.002086	0.005114	0.001516
145	194.000	-0.001863	0.006277	0.001493
146	196.000	-0.002086	0.005419	0.001430
147	198.000	-0.001767	0.005168	0.001462
148	200.000	-0.003075	0.005379	0.001482
149	202.000	-0.001859	0.004794	0.001451
150	204.000	-0.002521	0.005232	0.001460
151	206.000	-0.002612	0.005742	0.001463
152	208.000	-0.002326	0.004884	0.001408
153	210.000	-0.002496	0.005532	0.001425
154	212.000	-0.002491	0.004738	0.001393
155	214.000	-0.001731	0.005668	0.001462
156	216.000	-0.002605	0.005092	0.001464
157	218.000	-0.002748	0.004929	0.001426
158	220.000	-0.002848	0.004667	0.001469
159	222.000	-0.002106	0.005107	0.001517
160	224.000	-0.002270	0.004597	0.001491
161	226.000	-0.002690	0.004656	0.001439
162	228.000	-0.003392	0.005560	0.001509
163	230.000	-0.003568	0.005893	0.001499
164	232.000	-0.001932	0.005276	0.001494
165	234.000	-0.002180	0.005732	0.001472
166	236.000	-0.002194	0.005196	0.001478
167	238.000	-0.003315	0.005651	0.001418
168	240.000	-0.002150	0.004816	0.001401
169	242.000	-0.002124	0.005766	0.001480
170	244.000	-0.002158	0.005737	0.001417
171	246.000	-0.002321	0.004987	0.001496
172	248.000	-0.002173	0.004855	0.001405
173	250.000	-0.002149	0.005092	0.001426
174	252.000	-0.002733	0.005075	0.001436
175	254.000	-0.002953	0.005370	0.001422
