Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_transient_grating_measurement00001
DateTime:      Thursday, 04 January 2024, 16:44:51
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_transient_grating_measurement00001\Run00005\result.txt
Dimensions:    2
TotalSteps:    750
Created:       01/04/2024 12:17
Operator:      Jeffrey
Sample:        Sample
Notes:
Flat Al

pump 12.5 mW right arm only

probe 0.08 mW



Constants:
>	DelayLine [ps]	4.000272

Loops:
>	Repeat: 3 times
>	DelayLine: from -20 to 100 [ps] in 250 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,3,R,0,2
> DelayLine,ps,3,250,R,-20,100

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to 32 ps step=1 ps , to 43 ps step=0.2 ps , to 70 ps step=1 ps , to 80 ps step=0.2 ps , to >> step=1 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      4 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
96	0	31.000	-0.000860	0.009079	0.004583
97	0	32.000	-0.000757	0.010234	0.004333
98	0	32.200	-0.000279	0.009250	0.004431
99	0	32.400	-0.001257	0.009496	0.004287
100	0	32.600	-0.001387	0.008814	0.004350
101	0	32.800	-0.000453	0.008602	0.004334
102	0	33.000	-0.001184	0.009063	0.004321
103	0	33.200	-0.000333	0.009228	0.004223
104	0	33.400	-0.001294	0.008638	0.004235
105	0	33.600	-0.000909	0.009831	0.004204
106	0	33.800	-0.001070	0.008920	0.004198
107	0	34.000	-0.001189	0.009135	0.004149
108	0	34.200	-0.000947	0.009670	0.004172
109	0	34.400	-0.002145	0.009199	0.004192
110	0	34.600	-0.000289	0.009273	0.004181
111	0	34.800	-0.000842	0.008826	0.004095
112	0	35.000	-0.002479	0.009381	0.003966
113	0	35.200	0.000296	0.009019	0.004055
114	0	35.400	-0.000940	0.008828	0.004108
115	0	35.600	-0.001162	0.008129	0.003981
116	0	35.800	-0.002150	0.009378	0.004082
117	0	36.000	-0.000504	0.009144	0.004031
118	0	36.200	-0.000047	0.010411	0.004032
119	0	36.400	-0.014163	0.008531	0.003966
120	0	36.600	0.000582	0.008202	0.004086
121	0	36.800	-0.001452	0.008657	0.003976
122	0	37.000	0.000150	0.007805	0.004079
123	0	37.200	-0.000993	0.009689	0.004006
124	0	37.400	-0.000909	0.008621	0.003915
125	0	37.600	-0.002055	0.009301	0.003906
126	0	37.800	-0.000969	0.007803	0.003970
127	0	38.000	-0.001340	0.008656	0.003954
128	0	38.200	-0.001276	0.010308	0.003993
129	0	38.400	0.000520	0.008628	0.003951
130	0	38.600	-0.001965	0.008265	0.003908
131	0	38.800	-0.000537	0.010267	0.003909
132	0	39.000	-0.001282	0.009277	0.003944
133	0	39.200	-0.001580	0.008580	0.004029
134	0	39.400	-0.000239	0.008089	0.003833
135	0	39.600	-0.000384	0.010466	0.003886
136	0	39.800	0.000011	0.009411	0.003941
137	0	40.000	-0.000203	0.007886	0.003988
138	0	40.200	-0.000096	0.008528	0.003994
139	0	40.400	-0.000114	0.008640	0.003897
140	0	40.600	-0.000582	0.008455	0.003989
141	0	40.800	-0.000330	0.008481	0.004014
142	0	41.000	0.000646	0.008713	0.003928
143	0	41.200	-0.000042	0.008145	0.003880
144	0	41.400	-0.001838	0.008697	0.003844
145	0	41.600	0.000044	0.008595	0.003938
146	0	41.800	-0.000633	0.008556	0.003993
147	0	42.000	-0.003271	0.008589	0.003828
148	0	42.200	-0.001166	0.008754	0.003915
149	0	42.400	-0.000830	0.008917	0.003920
150	0	42.600	-0.000530	0.009117	0.003970
